[Point Spectroscopy Data]
Approach Rate=0.0760 µm/sec
Retreat Rate=0.0760 µm/sec
Z Start=0.0000 µm
Z End=-0.5000 µm
Cycle Hold Time=0.000 sec
½ Cycle Hold Time=0.000 sec
Z Piezo Linerizer On=no

[Series layout]
Points Number=512
Series Number=1
Trace Z Position, µm	Deflection Signal, V	Retrace Z Position, µm	Deflection Signal, V

[Data]
  0.000000	  8.805135	 -0.500000	 -0.557311
 -0.000979	  8.782443	 -0.499021	 -0.577549
 -0.001958	  8.767724	 -0.498042	 -0.559764
 -0.002936	  8.633414	 -0.497064	 -0.534619
 -0.003915	  8.625749	 -0.496085	 -0.520514
 -0.004893	  8.567180	 -0.495107	 -0.513461
 -0.005872	  8.558594	 -0.494128	 -0.544432
 -0.006850	  8.543875	 -0.493150	 -0.489236
 -0.007829	  8.515050	 -0.492171	 -0.544432
 -0.008807	  8.505851	 -0.491193	 -0.503035
 -0.009785	  8.473347	 -0.490214	 -0.552711
 -0.010764	  8.465987	 -0.489236	 -0.511928
 -0.011742	  8.402205	 -0.488258	 -0.526647
 -0.012721	  8.451881	 -0.487279	 -0.482183
 -0.013699	  8.423057	 -0.486301	 -0.494142
 -0.014678	  8.413857	 -0.485322	 -0.501195
 -0.015656	  8.346395	 -0.484344	 -0.502115
 -0.016635	  8.328610	 -0.483365	 -0.498742
 -0.017613	  8.251949	 -0.482387	 -0.490463
 -0.018592	  8.211473	 -0.481408	 -0.505795
 -0.019570	  8.150757	 -0.480430	 -0.500582
 -0.020549	  8.101694	 -0.479451	 -0.505795
 -0.021527	  8.093108	 -0.478473	 -0.508861
 -0.022506	  8.064283	 -0.477494	 -0.505182
 -0.023484	  8.055084	 -0.476516	 -0.507021
 -0.024463	  7.950826	 -0.475537	 -0.477277
 -0.025441	  7.855766	 -0.474559	 -0.511314
 -0.026420	  7.760093	 -0.473580	 -0.492609
 -0.027398	  7.750280	 -0.472602	 -0.508248
 -0.028376	  7.707963	 -0.471624	 -0.490463
 -0.029355	  7.679752	 -0.470645	 -0.500275
 -0.030333	  7.650315	 -0.469667	 -0.480343
 -0.031312	  7.601865	 -0.468688	 -0.509781
 -0.032290	  7.616584	 -0.467710	 -0.500889
 -0.033269	  7.558935	 -0.466731	 -0.521434
 -0.034247	  7.578560	 -0.465753	 -0.479730
 -0.035226	  7.506192	 -0.464774	 -0.506408
 -0.036204	  7.460809	 -0.463796	 -0.488929
 -0.037183	  7.421558	 -0.462817	 -0.475437
 -0.038161	  7.438117	 -0.461839	 -0.509475
 -0.039140	  7.426465	 -0.460860	 -0.491689
 -0.040118	  7.405000	 -0.459882	 -0.496596
 -0.041097	  7.374949	 -0.458903	 -0.486783
 -0.042075	  7.239412	 -0.457925	 -0.479423
 -0.043054	  7.219787	 -0.456946	 -0.502422
 -0.044032	  7.143739	 -0.455968	 -0.488010
 -0.045011	  7.129020	 -0.454989	 -0.486783
 -0.045989	  7.078117	 -0.454011	 -0.494449
 -0.046967	  7.074438	 -0.453032	 -0.491076
 -0.047946	  7.013109	 -0.452054	 -0.473904
 -0.048924	  6.997777	 -0.451076	 -0.491383
 -0.049903	  6.933382	 -0.450097	 -0.487396
 -0.050881	  6.851814	 -0.449119	 -0.507941
 -0.051860	  6.783740	 -0.448140	 -0.499049
 -0.052838	  6.738356	 -0.447162	 -0.493836
 -0.053817	  6.773927	 -0.446183	 -0.485556
 -0.054795	  6.762274	 -0.445205	 -0.501502
 -0.055774	  6.791099	 -0.444226	 -0.490463
 -0.056752	  6.712598	 -0.443248	 -0.478810
 -0.057731	  6.688680	 -0.442269	 -0.491689
 -0.058709	  6.633484	 -0.441291	 -0.482490
 -0.059688	  6.594234	 -0.440312	 -0.518674
 -0.060666	  6.551610	 -0.439334	 -0.472677
 -0.061645	  6.512053	 -0.438355	 -0.491689
 -0.062623	  6.472189	 -0.437377	 -0.478197
 -0.063602	  6.447658	 -0.436398	 -0.521127
 -0.064580	  6.390009	 -0.435420	 -0.480650
 -0.065558	  6.331747	 -0.434442	 -0.505182
 -0.066537	  6.298629	 -0.433463	 -0.488010
 -0.067515	  6.231167	 -0.432485	 -0.503648
 -0.068494	  6.241593	 -0.431506	 -0.464091
 -0.069472	  6.188851	 -0.430528	 -0.503955
 -0.070451	  6.018357	 -0.429549	 -0.498435
 -0.071429	  5.706807	 -0.428571	 -0.498742
 -0.072408	  5.660197	 -0.427592	 -0.495369
 -0.073386	  5.574950	 -0.426614	 -0.482490
 -0.074365	  5.493996	 -0.425635	 -0.493222
 -0.075343	  5.498289	 -0.424657	 -0.484330
 -0.076322	  5.494609	 -0.423678	 -0.500275
 -0.077300	  5.530793	 -0.422700	 -0.494142
 -0.078279	  5.478664	 -0.421721	 -0.488623
 -0.079257	  5.386977	 -0.420743	 -0.489543
 -0.080236	  5.390964	 -0.419764	 -0.484023
 -0.081214	  5.403843	 -0.418786	 -0.495369
 -0.082193	  5.381151	 -0.417807	 -0.482490
 -0.083171	  5.351100	 -0.416829	 -0.512541
 -0.084149	  5.328408	 -0.415850	 -0.459185
 -0.085128	  5.295291	 -0.414872	 -0.491076
 -0.086106	  5.186126	 -0.413894	 -0.480957
 -0.087085	  5.100266	 -0.412915	 -0.491383
 -0.088063	  4.919959	 -0.411937	 -0.483103
 -0.089042	  4.881322	 -0.410958	 -0.489849
 -0.090020	  4.914440	 -0.409980	 -0.484636
 -0.090999	  4.917200	 -0.409001	 -0.495369
 -0.091977	  4.953077	 -0.408023	 -0.494449
 -0.092956	  5.003673	 -0.407044	 -0.479423
 -0.093934	  5.010726	 -0.406066	 -0.497209
 -0.094913	  5.035870	 -0.405087	 -0.479423
 -0.095891	  5.027284	 -0.404109	 -0.517447
 -0.096870	  5.038937	 -0.403130	 -0.472064
 -0.097848	  4.970555	 -0.402152	 -0.485250
 -0.098827	  4.961969	 -0.401173	 -0.474824
 -0.099805	  4.932838	 -0.400195	 -0.496596
 -0.100784	  4.945104	 -0.399216	 -0.520514
 -0.101762	  4.864763	 -0.398238	 -0.479117
 -0.102740	  4.787489	 -0.397260	 -0.491076
 -0.103719	  4.702856	 -0.396281	 -0.483103
 -0.104697	  4.692123	 -0.395303	 -0.477584
 -0.105676	  4.692430	 -0.394324	 -0.471451
 -0.106654	  4.639687	 -0.393346	 -0.504568
 -0.107633	  4.610249	 -0.392367	 -0.484943
 -0.108611	  4.572225	 -0.391389	 -0.491076
 -0.109590	  4.515803	 -0.390410	 -0.484636
 -0.110568	  4.465513	 -0.389432	 -0.499049
 -0.111547	  4.450181	 -0.388453	 -0.495676
 -0.112525	  4.419517	 -0.387475	 -0.474517
 -0.113504	  4.420743	 -0.386496	 -0.491996
 -0.114482	  4.372293	 -0.385518	 -0.480957
 -0.115461	  4.314338	 -0.384539	 -0.497822
 -0.116439	  4.299313	 -0.383561	 -0.471451
 -0.117418	  4.208546	 -0.382582	 -0.503648
 -0.118396	  4.186468	 -0.381604	 -0.482797
 -0.119375	  4.061050	 -0.380625	 -0.487703
 -0.120353	  4.042345	 -0.379647	 -0.464091
 -0.121331	  4.007388	 -0.378669	 -0.471144
 -0.122310	  4.011067	 -0.377690	 -0.485863
 -0.123288	  3.982856	 -0.376712	 -0.479423
 -0.124267	  3.930113	 -0.375733	 -0.488623
 -0.125245	  3.867558	 -0.374755	 -0.476970
 -0.126224	  3.805616	 -0.373776	 -0.493529
 -0.127202	  3.695224	 -0.372798	 -0.474517
 -0.128181	  3.641868	 -0.371819	 -0.499969
 -0.129159	  3.651681	 -0.370841	 -0.489236
 -0.130138	  3.609364	 -0.369862	 -0.490769
 -0.131116	  3.603844	 -0.368884	 -0.504568
 -0.132095	  3.518904	 -0.367905	 -0.470531
 -0.133073	  3.437030	 -0.366927	 -0.489236
 -0.134052	  3.378768	 -0.365948	 -0.515301
 -0.135030	  3.365276	 -0.364970	 -0.492916
 -0.136009	  3.135599	 -0.363991	 -0.483717
 -0.136987	  3.023674	 -0.363013	 -0.485556
 -0.137966	  2.916962	 -0.362034	 -0.449679
 -0.138944	  2.837235	 -0.361056	 -0.486170
 -0.139922	  2.850727	 -0.360077	 -0.494449
 -0.140901	  2.816997	 -0.359099	 -0.485250
 -0.141879	  2.764254	 -0.358121	 -0.492916
 -0.142858	  2.645583	 -0.357142	 -0.473291
 -0.143836	  2.663061	 -0.356164	 -0.471451
 -0.144815	  2.689433	 -0.355185	 -0.475130
 -0.145793	  2.702312	 -0.354207	 -0.507635
 -0.146772	  2.709671	 -0.353228	 -0.456732
 -0.147750	  2.696792	 -0.352250	 -0.503955
 -0.148729	  2.712738	 -0.351271	 -0.502422
 -0.149707	  2.578428	 -0.350293	 -0.476050
 -0.150686	  2.495021	 -0.349314	 -0.474211
 -0.151664	  2.425106	 -0.348336	 -0.478197
 -0.152643	  2.441051	 -0.347357	 -0.470224
 -0.153621	  2.439825	 -0.346379	 -0.457958
 -0.154600	  2.450251	 -0.345400	 -0.476970
 -0.155578	  2.389535	 -0.344422	 -0.462251
 -0.156557	  2.372363	 -0.343443	 -0.479423
 -0.157535	  2.296009	 -0.342465	 -0.483103
 -0.158513	  2.196350	 -0.341486	 -0.497209
 -0.159492	  2.148820	 -0.340508	 -0.476970
 -0.160470	  2.062653	 -0.339530	 -0.485556
 -0.161449	  2.038735	 -0.338551	 -0.475744
 -0.162427	  1.984152	 -0.337573	 -0.495062
 -0.163406	  1.971273	 -0.336594	 -0.484636
 -0.164384	  1.933249	 -0.335616	 -0.465931
 -0.165363	  1.901665	 -0.334637	 -0.488316
 -0.166341	  1.842176	 -0.333659	 -0.468998
 -0.167320	  1.813352	 -0.332680	 -0.489849
 -0.168298	  1.790353	 -0.331702	 -0.471451
 -0.169277	  1.704493	 -0.330723	 -0.490769
 -0.170255	  1.532773	 -0.329745	 -0.468998
 -0.171234	  1.448139	 -0.328766	 -0.475744
 -0.172212	  1.361665	 -0.327788	 -0.484330
 -0.173191	  1.208957	 -0.326809	 -0.476050
 -0.174169	  1.126470	 -0.325831	 -0.464705
 -0.175148	  1.078327	 -0.324852	 -0.465011
 -0.176126	  1.110218	 -0.323874	 -0.478504
 -0.177104	  1.122483	 -0.322895	 -0.486170
 -0.178083	  1.097952	 -0.321917	 -0.485250
 -0.179061	  1.103471	 -0.320939	 -0.453972
 -0.180040	  1.101632	 -0.319960	 -0.473291
 -0.181018	  1.131069	 -0.318982	 -0.471451
 -0.181997	  1.093659	 -0.318003	 -0.502728
 -0.182975	  1.105618	 -0.317025	 -0.458572
 -0.183954	  1.027424	 -0.316046	 -0.489849
 -0.184932	  0.865516	 -0.315068	 -0.482490
 -0.185911	  0.734272	 -0.314089	 -0.495369
 -0.186889	  0.725993	 -0.313111	 -0.497515
 -0.187868	  0.694409	 -0.312132	 -0.476970
 -0.188846	  0.660678	 -0.311154	 -0.479117
 -0.189825	  0.633080	 -0.310175	 -0.476664
 -0.190803	  0.491104	 -0.309197	 -0.499662
 -0.191782	  0.409537	 -0.308218	 -0.470224
 -0.192760	  0.372433	 -0.307240	 -0.462865
 -0.193739	  0.368140	 -0.306261	 -0.435267
 -0.194717	  0.277373	 -0.305283	 -0.491996
 -0.195695	  0.261121	 -0.304305	 -0.479730
 -0.196674	  0.184154	 -0.303326	 -0.488010
 -0.197652	  0.120065	 -0.302348	 -0.468691
 -0.198631	 -0.003206	 -0.301369	 -0.479117
 -0.199609	  0.009060	 -0.300391	 -0.496902
 -0.200588	  0.004460	 -0.299412	 -0.478504
 -0.201566	 -0.062081	 -0.298434	 -0.477890
 -0.202545	 -0.105318	 -0.297455	 -0.471451
 -0.203523	 -0.160207	 -0.296477	 -0.508248
 -0.204502	 -0.165420	 -0.295498	 -0.475130
 -0.205480	 -0.199151	 -0.294520	 -0.483717
 -0.206459	 -0.193632	 -0.293541	 -0.488316
 -0.207437	 -0.215710	 -0.292563	 -0.489236
 -0.208416	 -0.299730	 -0.291584	 -0.495369
 -0.209394	 -0.381297	 -0.290606	 -0.470837
 -0.210373	 -0.394177	 -0.289627	 -0.489849
 -0.211351	 -0.439560	 -0.288649	 -0.470224
 -0.212330	 -0.536153	 -0.287670	 -0.489236
 -0.213308	 -0.608827	 -0.286692	 -0.481877
 -0.214286	 -0.900752	 -0.285713	 -0.489236
 -0.215265	 -1.008691	 -0.284735	 -0.473904
 -0.216243	 -1.044875	 -0.283757	 -0.486783
 -0.217222	 -1.030769	 -0.282778	 -0.487396
 -0.218200	 -1.083512	 -0.281800	 -0.504875
 -0.219179	 -1.163852	 -0.280821	 -0.491996
 -0.220157	 -1.176118	 -0.279843	 -0.459185
 -0.221136	 -1.208929	 -0.278864	 -0.498129
 -0.222114	 -1.299082	 -0.277886	 -0.491996
 -0.223093	 -1.361637	 -0.276907	 -0.484943
 -0.224071	 -1.358571	 -0.275929	 -0.454279
 -0.225050	 -1.400581	 -0.274950	 -0.497209
 -0.226028	 -1.400581	 -0.273972	 -0.488929
 -0.227007	 -1.443511	 -0.272993	 -0.517447
 -0.227985	 -1.448418	 -0.272015	 -0.490769
 -0.228964	 -1.482149	 -0.271036	 -0.465625
 -0.229942	 -1.479082	 -0.270058	 -0.502728
 -0.230921	 -1.494414	 -0.269079	 -0.476970
 -0.231899	 -1.503000	 -0.268101	 -0.495982
 -0.232877	 -1.546850	 -0.267123	 -0.488623
 -0.233856	 -1.655709	 -0.266144	 -0.499969
 -0.234834	 -1.779286	 -0.265166	 -0.472064
 -0.235813	 -1.849508	 -0.264187	 -0.496596
 -0.236791	 -1.899184	 -0.263209	 -0.500582
 -0.237770	 -1.914209	 -0.262230	 -0.489236
 -0.238748	 -1.952540	 -0.261252	 -0.479730
 -0.239727	 -1.974005	 -0.260273	 -0.499049
 -0.240705	 -1.982591	 -0.259295	 -0.480650
 -0.241684	 -1.978911	 -0.258316	 -0.479117
 -0.242662	 -2.053732	 -0.257338	 -0.487703
 -0.243641	 -2.079797	 -0.256359	 -0.495369
 -0.244619	 -2.150325	 -0.255381	 -0.508861
 -0.245598	 -2.169950	 -0.254402	 -0.495369
 -0.246576	 -2.165657	 -0.253424	 -0.504262
 -0.247555	 -2.140206	 -0.252445	 -0.495676
 -0.248533	 -2.196015	 -0.251467	 -0.490769
 -0.249512	 -2.224226	 -0.250488	 -0.501195
 -0.250490	 -2.360989	 -0.249510	 -0.470224
 -0.251468	 -2.411279	 -0.248532	 -0.502422
 -0.252447	 -2.425998	 -0.247553	 -0.499662
 -0.253425	 -2.495299	 -0.246575	 -0.503342
 -0.254404	 -2.507565	 -0.245596	 -0.484023
 -0.255382	 -2.573800	 -0.244618	 -0.507635
 -0.256361	 -2.593425	 -0.243639	 -0.476970
 -0.257339	 -2.618877	 -0.242661	 -0.511314
 -0.258318	 -2.642795	 -0.241682	 -0.496596
 -0.259296	 -2.724669	 -0.240704	 -0.491689
 -0.260275	 -2.860512	 -0.239725	 -0.511928
 -0.261253	 -2.953732	 -0.238747	 -0.507635
 -0.262232	 -3.038059	 -0.237768	 -0.504568
 -0.263210	 -3.166542	 -0.236790	 -0.504568
 -0.264189	 -3.202726	 -0.235811	 -0.511314
 -0.265167	 -3.246883	 -0.234833	 -0.499969
 -0.266146	 -3.280307	 -0.233854	 -0.516834
 -0.267124	 -3.226645	 -0.232876	 -0.480037
 -0.268103	 -3.192914	 -0.231897	 -0.506715
 -0.269081	 -3.166542	 -0.230919	 -0.496289
 -0.270059	 -3.191994	 -0.229941	 -0.501502
 -0.271038	 -3.232471	 -0.228962	 -0.492303
 -0.272016	 -3.292880	 -0.227984	 -0.502728
 -0.272995	 -3.366781	 -0.227005	 -0.533699
 -0.273973	 -3.407871	 -0.226027	 -0.494756
 -0.274952	 -3.517649	 -0.225048	 -0.521127
 -0.275930	 -3.574685	 -0.224070	 -0.476050
 -0.276909	 -3.642453	 -0.223091	 -0.511928
 -0.277887	 -3.672198	 -0.222113	 -0.492609
 -0.278866	 -3.744566	 -0.221134	 -0.515607
 -0.279844	 -3.776150	 -0.220156	 -0.523580
 -0.280823	 -3.921192	 -0.219177	 -0.510088
 -0.281801	 -3.972709	 -0.218199	 -0.491689
 -0.282780	 -3.957990	 -0.217220	 -0.483410
 -0.283758	 -3.942351	 -0.216242	 -0.514381
 -0.284737	 -3.970562	 -0.215263	 -0.503342
 -0.285715	 -3.980681	 -0.214285	 -0.504262
 -0.286694	 -3.960443	 -0.213306	 -0.482797
 -0.287672	 -4.029744	 -0.212328	 -0.521740
 -0.288650	 -4.034957	 -0.211350	 -0.515301
 -0.289629	 -4.054889	 -0.210371	 -0.525113
 -0.290607	 -4.122964	 -0.209393	 -0.520514
 -0.291586	 -4.145656	 -0.208414	 -0.538912
 -0.292564	 -4.133697	 -0.207436	 -0.503955
 -0.293543	 -4.172640	 -0.206457	 -0.526647
 -0.294521	 -4.236422	 -0.205479	 -0.491689
 -0.295500	 -4.219250	 -0.204500	 -0.497209
 -0.296478	 -4.233356	 -0.203522	 -0.528180
 -0.297457	 -4.241329	 -0.202543	 -0.503342
 -0.298435	 -4.311244	 -0.201565	 -0.522660
 -0.299414	 -4.329335	 -0.200586	 -0.481570
 -0.300392	 -4.353253	 -0.199608	 -0.515607
 -0.301371	 -4.414276	 -0.198629	 -0.509475
 -0.302349	 -4.559931	 -0.197651	 -0.499662
 -0.303328	 -4.592436	 -0.196672	 -0.503955
 -0.304306	 -4.585690	 -0.195694	 -0.512234
 -0.305285	 -4.671856	 -0.194715	 -0.510701
 -0.306263	 -4.703747	 -0.193737	 -0.498435
 -0.307241	 -4.763236	 -0.192759	 -0.514381
 -0.308220	 -4.816286	 -0.191780	 -0.481877
 -0.309198	 -4.820885	 -0.190802	 -0.503955
 -0.310177	 -4.893867	 -0.189823	 -0.491996
 -0.311155	 -4.947529	 -0.188845	 -0.501808
 -0.312134	 -4.955809	 -0.187866	 -0.495369
 -0.313112	 -4.944156	 -0.186888	 -0.489236
 -0.314091	 -4.973287	 -0.185909	 -0.503955
 -0.315069	 -5.012231	 -0.184931	 -0.506715
