[Point Spectroscopy Data]
Approach Rate=0.1062 µm/sec
Retreat Rate=0.1062 µm/sec
Z Start=-1.8000 µm
Z End=-2.5000 µm
Cycle Hold Time=0.000 sec
½ Cycle Hold Time=0.000 sec
Z Piezo Linerizer On=no

[Series layout]
Points Number=512
Series Number=1
Trace Z Position, µm	Deflection Signal, V	Retrace Z Position, µm	Deflection Signal, V

[Data]
 -1.800000	 10.044895	 -2.500000	  5.877301
 -1.801371	 10.044895	 -2.498629	  5.862582
 -1.802740	 10.044895	 -2.497259	  5.897539
 -1.804110	 10.044895	 -2.495889	  5.892020
 -1.805480	 10.044895	 -2.494519	  5.917164
 -1.806850	 10.044895	 -2.493150	  5.877914
 -1.808220	 10.044895	 -2.491780	  5.929430
 -1.809590	 10.044895	 -2.490410	  5.906125
 -1.810960	 10.044895	 -2.489040	  5.928204
 -1.812330	 10.044895	 -2.487670	  5.911031
 -1.813699	 10.044895	 -2.486300	  5.923911
 -1.815069	 10.044895	 -2.484931	  5.949668
 -1.816439	 10.044895	 -2.483560	  5.921457
 -1.817809	 10.044895	 -2.482191	  5.941389
 -1.819179	 10.044895	 -2.480821	  5.903672
 -1.820549	 10.044895	 -2.479451	  5.907965
 -1.821919	 10.044895	 -2.478081	  5.889566
 -1.823288	 10.044895	 -2.476711	  5.929430
 -1.824658	 10.044895	 -2.475341	  5.929430
 -1.826028	 10.044895	 -2.473972	  5.922684
 -1.827398	 10.044895	 -2.472601	  5.959481
 -1.828768	 10.044895	 -2.471232	  5.955495
 -1.830138	 10.044895	 -2.469862	  5.972360
 -1.831508	 10.044895	 -2.468492	  5.945989
 -1.832878	 10.044895	 -2.467122	  5.968680
 -1.834247	 10.044895	 -2.465752	  5.942002
 -1.835617	 10.044895	 -2.464382	  5.972054
 -1.836987	 10.044895	 -2.463013	  5.953348
 -1.838357	 10.044895	 -2.461643	  5.960401
 -1.839727	 10.044895	 -2.460273	  5.940469
 -1.841097	 10.044895	 -2.458903	  5.957948
 -1.842467	 10.044895	 -2.457533	  5.944149
 -1.843837	 10.044895	 -2.456163	  5.923911
 -1.845206	 10.044895	 -2.454793	  5.937403
 -1.846576	 10.044895	 -2.453424	  5.934336
 -1.847946	 10.044895	 -2.452054	  5.949055
 -1.849316	 10.044895	 -2.450684	  5.891406
 -1.850686	 10.044895	 -2.449314	  5.949668
 -1.852056	 10.044895	 -2.447944	  5.925750
 -1.853426	 10.044895	 -2.446574	  5.959481
 -1.854795	 10.044895	 -2.445204	  5.958868
 -1.856165	 10.044895	 -2.443834	  5.942309
 -1.857535	 10.044895	 -2.442465	  5.944762
 -1.858905	 10.044895	 -2.441095	  5.962854
 -1.860275	 10.044895	 -2.439725	  5.961321
 -1.861645	 10.044895	 -2.438355	  5.931270
 -1.863015	 10.044895	 -2.436985	  5.993825
 -1.864384	 10.044895	 -2.435615	  5.936176
 -1.865754	 10.044895	 -2.434245	  5.984932
 -1.867124	 10.044895	 -2.432875	  5.937403
 -1.868494	 10.044895	 -2.431506	  5.954575
 -1.869864	 10.044895	 -2.430136	  5.953042
 -1.871234	 10.044895	 -2.428766	  5.940469
 -1.872604	 10.044895	 -2.427396	  5.958255
 -1.873973	 10.044895	 -2.426026	  5.964387
 -1.875343	 10.044895	 -2.424656	  5.980333
 -1.876713	 10.044895	 -2.423286	  5.953655
 -1.878083	 10.044895	 -2.421917	  5.988306
 -1.879453	 10.044895	 -2.420547	  5.941082
 -1.880823	 10.044895	 -2.419177	  5.964387
 -1.882193	 10.044895	 -2.417807	  5.952122
 -1.883563	 10.044895	 -2.416437	  5.939243
 -1.884932	 10.044895	 -2.415067	  5.967454
 -1.886302	 10.044895	 -2.413697	  5.940469
 -1.887672	 10.044895	 -2.412328	  5.965614
 -1.889042	 10.044895	 -2.410958	  5.957641
 -1.890412	 10.044895	 -2.409588	  5.957641
 -1.891782	 10.044895	 -2.408218	  5.942309
 -1.893152	 10.044895	 -2.406848	  5.952122
 -1.894521	 10.044895	 -2.405478	  5.932497
 -1.895891	 10.044895	 -2.404109	  5.967454
 -1.897261	 10.044895	 -2.402739	  5.966841
 -1.898631	 10.044895	 -2.401369	  5.980639
 -1.900001	 10.044895	 -2.399999	  5.977573
 -1.901371	 10.044895	 -2.398629	  5.928204
 -1.902741	 10.044895	 -2.397259	  5.985239
 -1.904110	 10.044895	 -2.395889	  5.944149
 -1.905480	 10.044895	 -2.394519	  5.991985
 -1.906850	 10.044895	 -2.393150	  5.957641
 -1.908220	 10.044895	 -2.391780	  5.976040
 -1.909590	 10.044895	 -2.390410	  5.947829
 -1.910960	 10.044895	 -2.389040	  5.966228
 -1.912330	 10.044895	 -2.387670	  5.964387
 -1.913699	 10.044895	 -2.386300	  5.962548
 -1.915069	 10.044895	 -2.384930	  5.956415
 -1.916439	 10.044895	 -2.383560	  5.939243
 -1.917809	 10.044895	 -2.382191	  5.956415
 -1.919179	 10.044895	 -2.380821	  5.926977
 -1.920549	 10.044895	 -2.379451	  5.971747
 -1.921919	 10.044895	 -2.378081	  5.945069
 -1.923289	 10.044895	 -2.376711	  5.980333
 -1.924658	 10.044895	 -2.375341	  5.953348
 -1.926028	 10.044895	 -2.373971	  5.954575
 -1.927398	 10.044895	 -2.372602	  5.939856
 -1.928768	 10.044895	 -2.371232	  5.936790
 -1.930138	 10.044895	 -2.369862	  5.965614
 -1.931508	 10.044895	 -2.368492	  5.928204
 -1.932878	 10.044895	 -2.367122	  5.970520
 -1.934247	 10.044895	 -2.365752	  5.966841
 -1.935617	 10.044895	 -2.364382	  5.982480
 -1.936987	 10.044895	 -2.363013	  5.958561
 -1.938357	 10.044895	 -2.361643	  5.980639
 -1.939727	 10.044895	 -2.360273	  5.990759
 -1.941097	 10.044895	 -2.358903	  5.965001
 -1.942467	 10.044895	 -2.357533	  5.980333
 -1.943836	 10.044895	 -2.356163	  5.955188
 -1.945206	 10.044895	 -2.354793	  5.978493
 -1.946576	 10.044895	 -2.353424	  5.967454
 -1.947946	 10.044895	 -2.352054	  6.005785
 -1.949316	 10.044895	 -2.350684	  5.982786
 -1.950686	 10.044895	 -2.349314	  6.006091
 -1.952056	 10.044895	 -2.347944	  5.966841
 -1.953426	 10.044895	 -2.346574	  5.985239
 -1.954795	 10.044895	 -2.345204	  5.972973
 -1.956165	 10.044895	 -2.343834	  5.970520
 -1.957535	 10.044895	 -2.342465	  6.017744
 -1.958905	 10.044895	 -2.341094	  5.951509
 -1.960275	 10.044895	 -2.339725	  5.979720
 -1.961645	 10.044895	 -2.338355	  5.973587
 -1.963014	 10.044895	 -2.336985	  6.002411
 -1.964384	 10.044895	 -2.335615	  5.985853
 -1.965754	 10.044895	 -2.334245	  5.994439
 -1.967124	 10.044895	 -2.332875	  5.963161
 -1.968494	 10.044895	 -2.331506	  5.965001
 -1.969864	 10.044895	 -2.330136	  5.988306
 -1.971234	 10.044895	 -2.328766	  5.957028
 -1.972604	 10.044895	 -2.327396	  5.986466
 -1.973973	 10.044895	 -2.326026	  5.968680
 -1.975343	 10.044895	 -2.324656	  5.993519
 -1.976713	 10.044895	 -2.323287	  5.962241
 -1.978083	 10.044895	 -2.321917	  5.975120
 -1.979453	 10.044895	 -2.320547	  5.963774
 -1.980823	 10.044895	 -2.319177	  5.971134
 -1.982193	 10.044895	 -2.317807	  5.954575
 -1.983562	 10.044895	 -2.316437	  5.956108
 -1.984932	 10.044895	 -2.315067	  5.972973
 -1.986302	 10.044895	 -2.313697	  5.965614
 -1.987672	 10.044895	 -2.312328	  5.962548
 -1.989042	 10.044895	 -2.310958	  5.945989
 -1.990412	 10.044895	 -2.309588	  5.963161
 -1.991782	 10.044895	 -2.308218	  5.944149
 -1.993151	 10.044895	 -2.306848	  5.951815
 -1.994521	 10.044895	 -2.305478	  5.972360
 -1.995891	 10.044895	 -2.304108	  5.947216
 -1.997261	 10.044895	 -2.302738	  5.956721
 -1.998631	 10.044895	 -2.301369	  5.938016
 -2.000001	 10.005339	 -2.299999	  5.954575
 -2.001371	  9.966088	 -2.298629	  5.953961
 -2.002741	  9.911506	 -2.297259	  5.949055
 -2.004110	  9.863669	 -2.295889	  5.976040
 -2.005480	  9.829938	 -2.294519	  5.977266
 -2.006850	  9.747758	 -2.293150	  5.957641
 -2.008220	  9.720467	 -2.291780	  5.971440
 -2.009590	  9.654538	 -2.290410	  5.953961
 -2.010960	  9.621421	 -2.289040	  5.935563
 -2.012330	  9.556412	 -2.287670	  5.930656
 -2.013700	  9.518388	 -2.286300	  5.919618
 -2.015069	  9.446633	 -2.284930	  5.934336
 -2.016439	  9.423328	 -2.283561	  5.943536
 -2.017809	  9.373652	 -2.282191	  5.968680
 -2.019179	  9.307417	 -2.280821	  5.966841
 -2.020549	  9.273073	 -2.279451	  5.959175
 -2.021919	  9.195186	 -2.278081	  5.944149
 -2.023288	  9.171268	 -2.276711	  5.949055
 -2.024658	  9.099513	 -2.275341	  5.949055
 -2.026028	  9.075595	 -2.273971	  5.962548
 -2.027398	  8.983602	 -2.272602	  5.967454
 -2.028768	  8.952324	 -2.271231	  5.947829
 -2.030138	  8.888542	 -2.269862	  5.976040
 -2.031508	  8.843159	 -2.268492	  5.963774
 -2.032878	  8.784897	 -2.267122	  5.946602
 -2.034247	  8.718661	 -2.265752	  5.947216
 -2.035617	  8.697809	 -2.264382	  6.000878
 -2.036987	  8.619922	 -2.263012	  5.949055
 -2.038357	  8.604589	 -2.261643	  5.976040
 -2.039727	  8.502171	 -2.260273	  5.965001
 -2.041097	  8.478866	 -2.258903	  5.974813
 -2.042467	  8.416924	 -2.257533	  5.976040
 -2.043837	  8.370314	 -2.256163	  5.951815
 -2.045207	  8.302853	 -2.254793	  5.993825
 -2.046576	  8.241524	 -2.253423	  5.960708
 -2.047946	  8.210859	 -2.252053	  5.971747
 -2.049316	  8.144625	 -2.250684	  5.943536
 -2.050686	  8.116413	 -2.249314	  5.958868
 -2.052056	  8.035460	 -2.247944	  5.947829
 -2.053426	  8.010927	 -2.246574	  5.971134
 -2.054796	  7.926294	 -2.245204	  5.992599
 -2.056165	  7.899923	 -2.243834	  5.960094
 -2.057535	  7.832461	 -2.242465	  5.984013
 -2.058905	  7.785851	 -2.241095	  5.990146
 -2.060275	  7.737401	 -2.239725	  5.977880
 -2.061645	  7.688952	 -2.238355	  5.990146
 -2.063015	  7.633142	 -2.236985	  6.022956
 -2.064384	  7.576107	 -2.235615	  5.974200
 -2.065754	  7.538696	 -2.234246	  5.960094
 -2.067124	  7.444863	 -2.232875	  5.998732
 -2.068494	  7.430144	 -2.231506	  5.979720
 -2.069864	  7.348577	 -2.230136	  5.982173
 -2.071234	  7.306874	 -2.228766	  5.934336
 -2.072604	  7.251678	 -2.227396	  5.964387
 -2.073973	  7.202921	 -2.226026	  5.958868
 -2.075343	  7.156312	 -2.224656	  5.979720
 -2.076713	  7.086090	 -2.223287	  5.947216
 -2.078083	  7.052973	 -2.221916	  5.971134
 -2.079453	  6.971712	 -2.220547	  5.971747
 -2.080823	  6.956073	 -2.219177	  5.973587
 -2.082193	  6.876959	 -2.217807	  5.997505
 -2.083563	  6.843228	 -2.216437	  5.950895
 -2.084932	  6.775767	 -2.215067	  6.007931
 -2.086302	  6.742036	 -2.213697	  5.953348
 -2.087672	  6.677027	 -2.212327	  5.989532
 -2.089042	  6.628578	 -2.210958	  5.979106
 -2.090412	  6.579515	 -2.209588	  5.993825
 -2.091782	  6.517573	 -2.208218	  5.974200
 -2.093152	  6.480162	 -2.206848	  5.988306
 -2.094522	  6.408408	 -2.205478	  5.975427
 -2.095891	  6.385103	 -2.204108	  5.977880
 -2.097261	  6.296483	 -2.202739	  5.995052
 -2.098631	  6.265512	 -2.201369	  5.993212
 -2.100001	  6.210316	 -2.199999	  6.036142
 -2.101371	  6.156960	 -2.198629	  5.954575
 -2.102741	  6.112803	 -2.197259	  6.003638
 -2.104110	  6.045955	 -2.195889	  5.970520
 -2.105480	  6.009771	 -2.194519	  6.012224
 -2.106850	  5.947216	 -2.193149	  6.022956
 -2.108220	  5.916551	 -2.191780	  6.006704
 -2.109590	  5.828238	 -2.190410	  6.014064
 -2.110960	  5.789907	 -2.189040	  6.003025
 -2.112329	  5.722139	 -2.187670	  5.998732
 -2.113700	  5.698834	 -2.186300	  5.971134
 -2.115069	  5.617880	 -2.184930	  6.023263
 -2.116439	  5.571884	 -2.183560	  5.997812
 -2.117809	  5.533860	 -2.182191	  6.015903
 -2.119179	  5.473757	 -2.180821	  5.999958
 -2.120549	  5.442787	 -2.179451	  6.011611
 -2.121919	  5.362752	 -2.178081	  6.012224
 -2.123289	  5.328408	 -2.176711	  6.015903
 -2.124658	  5.272599	 -2.175341	  6.016517
 -2.126029	  5.247455	 -2.173971	  6.018357
 -2.127398	  5.161594	 -2.172601	  5.977266
 -2.128768	  5.130930	 -2.171232	  6.003638
 -2.130138	  5.061015	 -2.169862	  6.025716
 -2.131508	  5.020538	 -2.168492	  5.978493
 -2.132878	  4.977915	 -2.167122	  6.030009
 -2.134248	  4.913826	 -2.165752	  6.003025
 -2.135617	  4.870896	 -2.164382	  6.035835
 -2.136987	  4.817234	 -2.163012	  6.007931
 -2.138357	  4.784423	 -2.161643	  5.984626
 -2.139727	  4.705922	 -2.160273	  6.027556
 -2.141097	  4.674644	 -2.158903	  6.021423
 -2.142467	  4.604423	 -2.157533	  6.022343
 -2.143836	  4.572532	 -2.156163	  6.022650
 -2.145206	  4.513350	 -2.154793	  6.068646
 -2.146576	  4.470113	 -2.153424	  6.061287
 -2.147946	  4.418290	 -2.152054	  6.068033
 -2.149316	  4.345922	 -2.150684	  6.095631
 -2.150686	  4.318938	 -2.149314	  6.054847
 -2.152056	  4.242890	 -2.147944	  6.038595
 -2.153426	  4.222651	 -2.146574	  6.106363
 -2.154795	  4.163163	 -2.145204	  6.084592
 -2.156165	  4.101221	 -2.143834	  6.080299
 -2.157535	  4.042958	 -2.142465	  6.080912
 -2.158905	  4.000335	 -2.141095	  6.073553
 -2.160275	  3.947899	 -2.139725	  6.108203
 -2.161645	  3.885343	 -2.138355	  6.074472
 -2.163015	  3.857745	 -2.136985	  6.099311
 -2.164384	  3.788444	 -2.135615	  6.071713
 -2.165754	  3.759619	 -2.134245	  6.038902
 -2.167124	  3.678052	 -2.132875	  6.036449
 -2.168494	  3.649534	 -2.131505	  6.066806
 -2.169864	  3.582993	 -2.130136	  6.115256
 -2.171234	  3.546195	 -2.128766	  6.150827
 -2.172604	  3.476894	 -2.127396	  6.229941
 -2.173973	  3.418632	 -2.126026	  6.258152
 -2.175344	  3.378155	 -2.124656	  6.304762
 -2.176713	  3.324799	 -2.123286	  6.337266
 -2.178083	  3.288001	 -2.121917	  6.378356
 -2.179453	  3.199688	 -2.120547	  6.400435
 -2.180823	  3.181289	 -2.119177	  6.419140
 -2.182193	  3.110761	 -2.117807	  6.472803
 -2.183563	  3.074577	 -2.116437	  6.505920
 -2.184932	  3.008036	 -2.115067	  6.578288
 -2.186302	  2.960199	 -2.113697	  6.612326
 -2.187672	  2.912056	 -2.112328	  6.704012
 -2.189042	  2.854407	 -2.110958	  6.712598
 -2.190412	  2.811477	 -2.109588	  6.796618
 -2.191782	  2.745242	 -2.108218	  6.830349
 -2.193152	  2.710285	 -2.106848	  6.899958
 -2.194521	  2.628717	 -2.105478	  6.935222
 -2.195892	  2.597440	 -2.104108	  6.994710
 -2.197261	  2.537951	 -2.102739	  7.057879
 -2.198631	  2.495327	 -2.101368	  7.106942
 -2.200001	  2.425412	 -2.099999	  7.182376
 -2.201371	  2.379109	 -2.098629	  7.217947
 -2.202741	  2.319620	 -2.097259	  7.304420
 -2.204111	  2.265651	 -2.095889	  7.340604
 -2.205480	  2.238053	 -2.094519	  7.420332
 -2.206850	  2.156486	 -2.093149	  7.467555
 -2.208220	  2.116622	 -2.091780	  7.546056
 -2.209590	  2.050694	 -2.090410	  7.598185
 -2.210960	  2.016656	 -2.089040	  7.660127
 -2.212330	  1.942449	 -2.087670	  7.738628
 -2.213700	  1.893999	 -2.086300	  7.793824
 -2.215070	  1.839416	 -2.084930	  7.869872
 -2.216439	  1.784220	 -2.083560	  7.906669
 -2.217809	  1.736997	 -2.082191	  8.009088
 -2.219179	  1.667696	 -2.080821	  8.052018
 -2.220549	  1.634578	 -2.079451	  8.140944
 -2.221919	  1.560370	 -2.078081	  8.182648
 -2.223289	  1.519280	 -2.076711	  8.248270
 -2.224658	  1.448752	 -2.075341	  8.331677
 -2.226028	  1.414408	 -2.073971	  8.379514
 -2.227398	  1.338360	 -2.072602	  8.454947
 -2.228768	  1.288378	 -2.071232	  8.511677
 -2.230138	  1.240234	 -2.069862	  8.610723
 -2.231508	  1.180132	 -2.068492	  8.640161
 -2.232878	  1.126776	 -2.067122	  8.738287
 -2.234247	  1.051955	 -2.065752	  8.778151
 -2.235617	  1.018838	 -2.064382	  8.870143
 -2.236987	  0.953829	 -2.063012	  8.922273
 -2.238357	  0.912739	 -2.061643	  8.991574
 -2.239727	  0.833625	 -2.060273	  9.063329
 -2.241097	  0.791308	 -2.058903	  9.115458
 -2.242467	  0.723846	 -2.057533	  9.208065
 -2.243836	  0.683369	 -2.056163	  9.247315
 -2.245207	  0.630627	 -2.054793	  9.338388
 -2.246576	  0.562552	 -2.053423	  9.379786
 -2.247946	  0.505516	 -2.052053	  9.479137
 -2.249316	  0.438055	 -2.050683	  9.528201
 -2.250686	  0.417816	 -2.049314	  9.604861
 -2.252056	  0.345141	 -2.047944	  9.663124
 -2.253426	  0.300371	 -2.046574	  9.729359
 -2.254795	  0.212365	 -2.045204	  9.817673
 -2.256165	  0.176794	 -2.043834	  9.853856
 -2.257535	  0.122211	 -2.042464	  9.950143
 -2.258905	  0.064562	 -2.041095	  9.991846
 -2.260275	  0.009060	 -2.039725	 10.044895
 -2.261645	 -0.070361	 -2.038355	 10.044895
 -2.263015	 -0.087839	 -2.036985	 10.044895
 -2.264385	 -0.166954	 -2.035615	 10.044895
