[Point Spectroscopy Data]
Approach Rate=0.1519 µm/sec
Retreat Rate=0.1519 µm/sec
Z Start=-1.0000 µm
Z End=-2.0000 µm
Cycle Hold Time=0.000 sec
½ Cycle Hold Time=0.000 sec
Z Piezo Linerizer On=no

[Series layout]
Points Number=512
Series Number=1
Trace Z Position, µm	Deflection Signal, V	Retrace Z Position, µm	Deflection Signal, V

[Data]
 -1.000000	 10.044895	 -2.000000	 -0.678742
 -1.001958	 10.044895	 -1.998041	 -0.651144
 -1.003915	 10.044895	 -1.996085	 -0.600241
 -1.005872	 10.044895	 -1.994128	 -0.631519
 -1.007829	 10.044895	 -1.992171	 -0.587362
 -1.009786	 10.044895	 -1.990214	 -0.581842
 -1.011743	 10.044895	 -1.988257	 -0.553938
 -1.013700	 10.044895	 -1.986300	 -0.573563
 -1.015657	 10.044895	 -1.984343	 -0.540139
 -1.017614	 10.044895	 -1.982386	 -0.560684
 -1.019571	 10.044895	 -1.980429	 -0.556391
 -1.021528	 10.044895	 -1.978472	 -0.549952
 -1.023485	 10.044895	 -1.976515	 -0.546272
 -1.025442	 10.044895	 -1.974558	 -0.529100
 -1.027399	 10.044895	 -1.972601	 -0.549338
 -1.029356	 10.044895	 -1.970644	 -0.519900
 -1.031313	 10.044895	 -1.968687	 -0.524807
 -1.033270	 10.044895	 -1.966730	 -0.522354
 -1.035227	 10.044895	 -1.964773	 -0.518061
 -1.037184	 10.044895	 -1.962816	 -0.486783
 -1.039140	 10.044895	 -1.960859	 -0.503955
 -1.041097	 10.044895	 -1.958903	 -0.500582
 -1.043054	 10.044895	 -1.956946	 -0.488316
 -1.045011	 10.044895	 -1.954989	 -0.494142
 -1.046968	 10.044895	 -1.953032	 -0.461025
 -1.048925	 10.044895	 -1.951075	 -0.476664
 -1.050882	 10.044895	 -1.949118	 -0.464705
 -1.052839	 10.044895	 -1.947161	 -0.466851
 -1.054796	 10.044895	 -1.945204	 -0.491076
 -1.056753	 10.044895	 -1.943247	 -0.506101
 -1.058710	 10.044895	 -1.941290	 -0.472677
 -1.060667	 10.044895	 -1.939333	 -0.472984
 -1.062624	 10.044895	 -1.937376	 -0.485863
 -1.064581	 10.044895	 -1.935419	 -0.453359
 -1.066538	 10.044895	 -1.933462	 -0.467771
 -1.068495	 10.044895	 -1.931505	 -0.451519
 -1.070452	 10.044895	 -1.929548	 -0.475130
 -1.072409	 10.044895	 -1.927591	 -0.450599
 -1.074365	 10.044895	 -1.925634	 -0.483717
 -1.076323	 10.044895	 -1.923678	 -0.457345
 -1.078279	 10.044895	 -1.921720	 -0.480957
 -1.080236	 10.044895	 -1.919764	 -0.465625
 -1.082193	 10.044895	 -1.917807	 -0.460412
 -1.084150	 10.044895	 -1.915850	 -0.484330
 -1.086107	 10.044895	 -1.913893	 -0.444159
 -1.088064	 10.044895	 -1.911936	 -0.474824
 -1.090021	 10.044895	 -1.909979	 -0.440786
 -1.091978	 10.044895	 -1.908022	 -0.462865
 -1.093935	 10.044895	 -1.906065	 -0.461638
 -1.095892	 10.044895	 -1.904108	 -0.441706
 -1.097849	 10.044895	 -1.902151	 -0.449066
 -1.099806	 10.044895	 -1.900194	 -0.458265
 -1.101763	 10.044895	 -1.898237	 -0.475130
 -1.103720	 10.044895	 -1.896280	 -0.462251
 -1.105677	 10.044895	 -1.894323	 -0.461638
 -1.107634	 10.044895	 -1.892366	 -0.458265
 -1.109591	 10.044895	 -1.890409	 -0.476357
 -1.111548	 10.044895	 -1.888452	 -0.448146
 -1.113504	 10.044895	 -1.886495	 -0.449066
 -1.115461	 10.044895	 -1.884538	 -0.469918
 -1.117418	 10.044895	 -1.882582	 -0.460105
 -1.119375	 10.044895	 -1.880625	 -0.458878
 -1.121332	 10.044895	 -1.878668	 -0.448759
 -1.123289	 10.044895	 -1.876711	 -0.465318
 -1.125246	 10.044895	 -1.874754	 -0.457038
 -1.127203	 10.044895	 -1.872797	 -0.486170
 -1.129160	 10.044895	 -1.870840	 -0.438640
 -1.131117	 10.044895	 -1.868883	 -0.453972
 -1.133074	 10.044895	 -1.866926	 -0.448452
 -1.135031	 10.044895	 -1.864969	 -0.465011
 -1.136988	 10.044895	 -1.863012	 -0.451519
 -1.138945	 10.044895	 -1.861055	 -0.452439
 -1.140902	 10.044895	 -1.859098	 -0.473904
 -1.142859	 10.044895	 -1.857141	 -0.472064
 -1.144816	 10.044895	 -1.855184	 -0.449372
 -1.146773	 10.044895	 -1.853227	 -0.465318
 -1.148729	 10.044895	 -1.851271	 -0.476664
 -1.150686	 10.044895	 -1.849313	 -0.464091
 -1.152643	 10.044895	 -1.847357	 -0.468998
 -1.154600	 10.044895	 -1.845400	 -0.463171
 -1.156557	 10.044895	 -1.843443	 -0.463785
 -1.158514	 10.044895	 -1.841486	 -0.454279
 -1.160471	 10.044895	 -1.839529	 -0.476357
 -1.162428	 10.044895	 -1.837572	 -0.468384
 -1.164385	 10.044895	 -1.835615	 -0.463478
 -1.166342	 10.044895	 -1.833658	 -0.465318
 -1.168299	 10.044895	 -1.831701	 -0.457958
 -1.170256	 10.044895	 -1.829744	 -0.470224
 -1.172213	 10.044895	 -1.827787	 -0.448759
 -1.174170	 10.044895	 -1.825830	 -0.483410
 -1.176127	 10.044895	 -1.823873	 -0.454892
 -1.178084	 10.044895	 -1.821916	 -0.476970
 -1.180041	 10.044895	 -1.819959	 -0.467158
 -1.181998	 10.044895	 -1.818002	 -0.482490
 -1.183955	 10.044895	 -1.816045	 -0.480343
 -1.185912	 10.044895	 -1.814088	 -0.449372
 -1.187868	 10.044895	 -1.812132	 -0.490463
 -1.189825	 10.044895	 -1.810174	 -0.467158
 -1.191782	 10.044895	 -1.808218	 -0.484023
 -1.193739	 10.044895	 -1.806261	 -0.479423
 -1.195696	 10.044895	 -1.804304	 -0.495369
 -1.197653	 10.044895	 -1.802347	 -0.478197
 -1.199610	 10.044895	 -1.800390	 -0.494756
 -1.201567	 10.044895	 -1.798433	 -0.491689
 -1.203524	 10.044895	 -1.796476	 -0.478197
 -1.205481	 10.044895	 -1.794519	 -0.482183
 -1.207438	 10.044895	 -1.792562	 -0.456425
 -1.209395	 10.044895	 -1.790605	 -0.474517
 -1.211352	 10.044895	 -1.788648	 -0.492916
 -1.213309	 10.044895	 -1.786691	 -0.470224
 -1.215266	 10.044895	 -1.784734	 -0.476357
 -1.217223	 10.044895	 -1.782777	 -0.482490
 -1.219180	 10.044895	 -1.780820	 -0.491689
 -1.221137	 10.044895	 -1.778863	 -0.474824
 -1.223094	 10.044895	 -1.776906	 -0.487090
 -1.225050	 10.044895	 -1.774950	 -0.500582
 -1.227007	 10.044895	 -1.772992	 -0.482490
 -1.228964	 10.044895	 -1.771036	 -0.468998
 -1.230921	 10.044895	 -1.769079	 -0.492303
 -1.232878	 10.044895	 -1.767122	 -0.468998
 -1.234835	 10.044895	 -1.765165	 -0.490769
 -1.236792	 10.044895	 -1.763208	 -0.474211
 -1.238749	 10.044895	 -1.761251	 -0.496596
 -1.240706	 10.044895	 -1.759294	 -0.493529
 -1.242663	 10.044895	 -1.757337	 -0.468078
 -1.244620	 10.044895	 -1.755380	 -0.487703
 -1.246577	 10.044895	 -1.753423	 -0.484023
 -1.248534	 10.044895	 -1.751466	 -0.478504
 -1.250491	 10.043669	 -1.749509	 -0.481877
 -1.252448	  9.939103	 -1.747552	 -0.483717
 -1.254405	  9.888201	 -1.745595	 -0.457345
 -1.256361	  9.782715	 -1.743638	 -0.491689
 -1.258319	  9.705441	 -1.741681	 -0.483410
 -1.260275	  9.617435	 -1.739724	 -0.492303
 -1.262232	  9.525134	 -1.737767	 -0.500889
 -1.264189	  9.455832	 -1.735811	 -0.497822
 -1.266146	  9.352187	 -1.733854	 -0.487703
 -1.268103	  9.292085	 -1.731897	 -0.497822
 -1.270060	  9.189666	 -1.729940	 -0.507021
 -1.272017	  9.137537	 -1.727983	 -0.476664
 -1.273974	  9.030211	 -1.726026	 -0.483103
 -1.275931	  8.957231	 -1.724069	 -0.483717
 -1.277888	  8.837026	 -1.722112	 -0.502728
 -1.279845	  8.792870	 -1.720155	 -0.492916
 -1.281802	  8.683090	 -1.718198	 -0.509475
 -1.283759	  8.602750	 -1.716241	 -0.501808
 -1.285716	  8.533448	 -1.714284	 -0.489236
 -1.287673	  8.430416	 -1.712327	 -0.493529
 -1.289630	  8.362955	 -1.710370	 -0.474824
 -1.291587	  8.267282	 -1.708413	 -0.494449
 -1.293544	  8.212086	 -1.706456	 -0.484023
 -1.295501	  8.092495	 -1.704499	 -0.495676
 -1.297458	  8.039752	 -1.702542	 -0.493836
 -1.299414	  7.933653	 -1.700585	 -0.491689
 -1.301371	  7.861286	 -1.698629	 -0.474517
 -1.303328	  7.786464	 -1.696671	 -0.489236
 -1.305285	  7.687112	 -1.694715	 -0.514074
 -1.307242	  7.615357	 -1.692758	 -0.494142
 -1.309199	  7.512938	 -1.690801	 -0.496596
 -1.311156	  7.458969	 -1.688844	 -0.491076
 -1.313113	  7.344897	 -1.686887	 -0.511621
 -1.315070	  7.275596	 -1.684930	 -0.491689
 -1.317027	  7.175630	 -1.682973	 -0.495369
 -1.318984	  7.120434	 -1.681016	 -0.463171
 -1.320941	  7.009736	 -1.679059	 -0.510395
 -1.322898	  6.934301	 -1.677102	 -0.486476
 -1.324855	  6.862854	 -1.675145	 -0.511314
 -1.326812	  6.764728	 -1.673188	 -0.502422
 -1.328769	  6.690826	 -1.671231	 -0.483103
 -1.330726	  6.596074	 -1.669274	 -0.508248
 -1.332682	  6.534132	 -1.667317	 -0.487090
 -1.334639	  6.428953	 -1.665360	 -0.503648
 -1.336596	  6.361798	 -1.663404	 -0.484943
 -1.338553	  6.254779	 -1.661447	 -0.496902
 -1.340510	  6.191917	 -1.659490	 -0.473904
 -1.342467	  6.106670	 -1.657533	 -0.496596
 -1.344424	  6.026330	 -1.655576	 -0.480650
 -1.346381	  5.945375	 -1.653619	 -0.513461
 -1.348338	  5.841730	 -1.651662	 -0.490463
 -1.350295	  5.790214	 -1.649705	 -0.482490
 -1.352252	  5.687795	 -1.647748	 -0.526033
 -1.354209	  5.626466	 -1.645791	 -0.477890
 -1.356166	  5.517914	 -1.643834	 -0.506715
 -1.358123	  5.449839	 -1.641877	 -0.490769
 -1.360080	  5.364593	 -1.639920	 -0.488623
 -1.362037	  5.281185	 -1.637963	 -0.475744
 -1.363994	  5.200845	 -1.636006	 -0.507021
 -1.365951	  5.119277	 -1.634049	 -0.516221
 -1.367908	  5.037097	 -1.632092	 -0.504262
 -1.369865	  4.938971	 -1.630135	 -0.497209
 -1.371822	  4.880095	 -1.628178	 -0.474517
 -1.373778	  4.771850	 -1.626222	 -0.513154
 -1.375735	  4.710828	 -1.624264	 -0.500889
 -1.377692	  4.615462	 -1.622308	 -0.511928
 -1.379649	  4.541561	 -1.620350	 -0.479117
 -1.381606	  4.446808	 -1.618394	 -0.504568
 -1.383563	  4.363708	 -1.616437	 -0.487703
 -1.385520	  4.291339	 -1.614480	 -0.490769
 -1.387477	  4.204253	 -1.612523	 -0.495676
 -1.389434	  4.133111	 -1.610566	 -0.492916
 -1.391391	  4.034986	 -1.608609	 -0.469611
 -1.393348	  3.964458	 -1.606652	 -0.482490
 -1.395305	  3.869398	 -1.604695	 -0.500889
 -1.397262	  3.820335	 -1.602738	 -0.491996
 -1.399219	  3.711783	 -1.600781	 -0.495369
 -1.401176	  3.644935	 -1.598824	 -0.484330
 -1.403133	  3.551102	 -1.596867	 -0.490463
 -1.405089	  3.475667	 -1.594910	 -0.501502
 -1.407046	  3.400233	 -1.592953	 -0.503342
 -1.409003	  3.307626	 -1.590996	 -0.511928
 -1.410960	  3.251204	 -1.589039	 -0.480037
 -1.412917	  3.150625	 -1.587083	 -0.468384
 -1.414874	  3.078257	 -1.585126	 -0.489236
 -1.416831	  2.968785	 -1.583169	 -0.490156
 -1.418788	  2.909603	 -1.581212	 -0.475437
 -1.420745	  2.829569	 -1.579255	 -0.475437
 -1.422702	  2.747082	 -1.577298	 -0.467771
 -1.424659	  2.659382	 -1.575341	 -0.497515
 -1.426616	  2.582721	 -1.573384	 -0.476664
 -1.428573	  2.515872	 -1.571427	 -0.497209
 -1.430530	  2.422039	 -1.569470	 -0.509168
 -1.432487	  2.357644	 -1.567513	 -0.491689
 -1.434444	  2.259212	 -1.565556	 -0.493222
 -1.436401	  2.198803	 -1.563599	 -0.500582
 -1.438358	  2.102823	 -1.561642	 -0.491689
 -1.440315	  2.031682	 -1.559685	 -0.481877
 -1.442272	  1.953794	 -1.557728	 -0.500275
 -1.444229	  1.862415	 -1.555771	 -0.434040
 -1.446185	  1.781767	 -1.553814	 -0.507635
 -1.448143	  1.697134	 -1.551857	 -0.470837
 -1.450099	  1.622926	 -1.549901	 -0.475744
 -1.452056	  1.543812	 -1.547943	 -0.514994
 -1.454013	  1.470217	 -1.545987	 -0.474517
 -1.455970	  1.375158	 -1.544030	 -0.494449
 -1.457927	  1.317202	 -1.542073	 -0.467464
 -1.459884	  1.210797	 -1.540116	 -0.499662
 -1.461841	  1.137202	 -1.538159	 -0.506715
 -1.463798	  1.046742	 -1.536202	 -0.522047
 -1.465755	  0.978974	 -1.534245	 -0.474211
 -1.467712	  0.898633	 -1.532288	 -0.488929
 -1.469669	  0.815840	 -1.530331	 -0.497515
 -1.471626	  0.741632	 -1.528374	 -0.484330
 -1.473583	  0.651172	 -1.526417	 -0.482797
 -1.475540	  0.579111	 -1.524460	 -0.446919
 -1.477497	  0.475772	 -1.522503	 -0.471451
 -1.479454	  0.423336	 -1.520546	 -0.451212
 -1.481410	  0.322143	 -1.518589	 -0.488623
 -1.483367	  0.256521	 -1.516632	 -0.460412
 -1.485324	  0.171581	 -1.514675	 -0.462865
 -1.487281	  0.081428	 -1.512719	 -0.494756
 -1.489238	  0.012740	 -1.510762	 -0.481877
 -1.491195	 -0.077720	 -1.508805	 -0.466544
 -1.493152	 -0.146408	 -1.506848	 -0.475744
 -1.495109	 -0.237482	 -1.504891	 -0.459798
 -1.497066	 -0.308930	 -1.502934	 -0.446306
 -1.499023	 -0.406136	 -1.500977	 -0.458878
 -1.500980	 -0.468384	 -1.499020	 -0.435267
 -1.502937	 -0.554858	 -1.497063	 -0.459798
 -1.504894	 -0.630292	 -1.495106	 -0.430054
 -1.506851	 -0.720752	 -1.493149	 -0.422081
 -1.508808	 -0.794653	 -1.491192	 -0.431587
 -1.510765	 -0.874074	 -1.489235	 -0.398470
 -1.512722	 -0.958708	 -1.487278	 -0.404602
 -1.514679	 -1.036288	 -1.485321	 -0.391723
 -1.516636	 -1.125215	 -1.483364	 -0.365659
 -1.518592	 -1.194517	 -1.481407	 -0.354313
 -1.520550	 -1.287430	 -1.479450	 -0.347567
 -1.522506	 -1.371143	 -1.477493	 -0.311996
 -1.524463	 -1.462830	 -1.475537	 -0.325795
 -1.526420	 -1.528145	 -1.473580	 -0.318129
 -1.528377	 -1.606646	 -1.471623	 -0.503342
 -1.530334	 -1.694346	 -1.469666	 -0.428521
 -1.532291	 -1.768860	 -1.467709	 -0.383137
 -1.534248	 -1.866680	 -1.465752	 -0.369952
 -1.536205	 -1.931075	 -1.463795	 -0.319969
 -1.538162	 -2.015709	 -1.461838	 -0.284398
 -1.540119	 -2.091756	 -1.459881	 -0.190258
 -1.542076	 -2.188656	 -1.457924	 -0.133529
 -1.544033	 -2.250598	 -1.455967	 -0.044296
 -1.545990	 -2.342897	 -1.454010	  0.017953
 -1.547947	 -2.414346	 -1.452053	  0.102280
 -1.549904	 -2.500819	 -1.450096	  0.170968
 -1.551861	 -2.595878	 -1.448139	  0.254682
 -1.553818	 -2.666406	 -1.446182	  0.342382
 -1.555774	 -2.758399	 -1.444225	  0.417816
 -1.557731	 -2.816355	 -1.442268	  0.490184
 -1.559688	 -2.914175	 -1.440312	  0.565618
 -1.561645	 -2.994209	 -1.438354	  0.664971
 -1.563602	 -3.088655	 -1.436398	  0.738259
 -1.565559	 -3.151824	 -1.434441	  0.830865
 -1.567516	 -3.254549	 -1.432484	  0.904766
 -1.569473	 -3.328144	 -1.430527	  1.004732
 -1.571430	 -3.399285	 -1.428570	  1.077100
 -1.573387	 -3.486065	 -1.426613	  1.156521
 -1.575344	 -3.567019	 -1.424656	  1.254340
 -1.577301	 -3.662998	 -1.422699	  1.329774
 -1.579258	 -3.722181	 -1.420742	  1.430967
 -1.581215	 -3.816934	 -1.418785	  1.502415
 -1.583172	 -3.891755	 -1.416828	  1.612807
 -1.585129	 -3.990187	 -1.414871	  1.677508
 -1.587086	 -4.054276	 -1.412914	  1.780541
 -1.589043	 -4.139523	 -1.410957	  1.850455
 -1.591000	 -4.224156	 -1.409000	  1.947048
 -1.592957	 -4.307564	 -1.407043	  2.028309
 -1.594913	 -4.379012	 -1.405086	  2.117849
 -1.596870	 -4.461192	 -1.403129	  2.211682
 -1.598827	 -4.554412	 -1.401172	  2.282210
 -1.600784	 -4.620954	 -1.399216	  2.385855
 -1.602741	 -4.712640	 -1.397259	  2.460676
 -1.604698	 -4.776729	 -1.395302	  2.574748
 -1.606655	 -4.877307	 -1.393345	  2.643436
 -1.608612	 -4.956422	 -1.391388	  2.746469
 -1.610569	 -5.033390	 -1.389431	  2.815157
 -1.612526	 -5.118637	 -1.387474	  2.901017
 -1.614483	 -5.197137	 -1.385517	  2.982584
 -1.616440	 -5.286371	 -1.383560	  3.074271
 -1.618397	 -5.348006	 -1.381603	  3.178836
 -1.620354	 -5.452571	 -1.379646	  3.242618
 -1.622311	 -5.512061	 -1.377689	  3.354236
 -1.624268	 -5.602214	 -1.375732	  3.422311
 -1.626225	 -5.684088	 -1.373775	  3.533930
 -1.628182	 -5.764735	 -1.371818	  3.608137
 -1.630139	 -5.843542	 -1.369861	  3.708103
 -1.632095	 -5.932775	 -1.367905	  3.789670
 -1.634052	 -6.011583	 -1.365947	  3.877371
 -1.636009	 -6.077205	 -1.363991	  3.967524
