[Point Spectroscopy Data]
Approach Rate=0.0912 µm/sec
Retreat Rate=0.0912 µm/sec
Z Start=-0.9000 µm
Z End=-1.5000 µm
Cycle Hold Time=0.000 sec
½ Cycle Hold Time=0.000 sec
Z Piezo Linerizer On=no

[Series layout]
Points Number=512
Series Number=1
Trace Z Position, µm	Deflection Signal, V	Retrace Z Position, µm	Deflection Signal, V

[Data]
 -0.900000	 10.044895	 -1.500000	 -1.644363
 -0.901175	 10.044895	 -1.498825	 -1.620752
 -0.902349	 10.044895	 -1.497651	 -1.578435
 -0.903523	 10.044895	 -1.496476	 -1.573222
 -0.904697	 10.044895	 -1.495302	 -1.525999
 -0.905872	 10.044895	 -1.494128	 -1.538571
 -0.907046	 10.044895	 -1.492954	 -1.501160
 -0.908220	 10.044895	 -1.491780	 -1.487055
 -0.909394	 10.044895	 -1.490606	 -1.452097
 -0.910568	 10.044895	 -1.489432	 -1.446578
 -0.911743	 10.044895	 -1.488257	 -1.416527
 -0.912917	 10.044895	 -1.487083	 -1.409781
 -0.914091	 10.044895	 -1.485909	 -1.379116
 -0.915265	 10.044895	 -1.484735	 -1.360718
 -0.916439	 10.044895	 -1.483561	 -1.352438
 -0.917613	 10.044895	 -1.482387	 -1.333120
 -0.918787	 10.044895	 -1.481212	 -1.319627
 -0.919962	 10.044895	 -1.480038	 -1.277004
 -0.921136	 10.044895	 -1.478864	 -1.269338
 -0.922310	 10.044895	 -1.477690	 -1.237447
 -0.923484	 10.044895	 -1.476516	 -1.244806
 -0.924658	 10.044895	 -1.475341	 -1.250326
 -0.925832	 10.044895	 -1.474167	 -1.222728
 -0.927007	 10.044895	 -1.472993	 -1.231007
 -0.928181	 10.044895	 -1.471819	 -1.180411
 -0.929355	 10.044895	 -1.470645	 -1.208622
 -0.930529	 10.044895	 -1.469471	 -1.171212
 -0.931703	 10.044895	 -1.468296	 -1.158333
 -0.932878	 10.044895	 -1.467122	 -1.131655
 -0.934052	 10.044895	 -1.465948	 -1.154346
 -0.935226	 10.044895	 -1.464774	 -1.152506
 -0.936400	 10.044895	 -1.463600	 -1.128895
 -0.937574	 10.044895	 -1.462426	 -1.132575
 -0.938748	 10.044895	 -1.461251	 -1.092711
 -0.939923	 10.044895	 -1.460077	 -1.103444
 -0.941097	 10.044895	 -1.458903	 -1.102524
 -0.942271	 10.044895	 -1.457729	 -1.127668
 -0.943445	 10.044895	 -1.456555	 -1.133801
 -0.944619	 10.044895	 -1.455381	 -1.134415
 -0.945793	 10.044895	 -1.454206	 -1.129508
 -0.946968	 10.044895	 -1.453032	 -1.120922
 -0.948142	 10.044895	 -1.451858	 -1.095164
 -0.949316	 10.044895	 -1.450684	 -1.093324
 -0.950490	 10.044895	 -1.449510	 -1.104670
 -0.951664	 10.044895	 -1.448336	 -1.065420
 -0.952838	 10.044895	 -1.447161	 -1.098844
 -0.954013	 10.044895	 -1.445987	 -1.085351
 -0.955187	 10.044895	 -1.444813	 -1.085045
 -0.956361	 10.044895	 -1.443639	 -1.084125
 -0.957535	 10.044895	 -1.442465	 -1.073086
 -0.958709	 10.044895	 -1.441290	 -1.068486
 -0.959883	 10.044895	 -1.440116	 -1.075539
 -0.961058	 10.044895	 -1.438942	 -1.071859
 -0.962232	 10.044895	 -1.437768	 -1.050701
 -0.963406	 10.044895	 -1.436594	 -1.045488
 -0.964580	 10.044895	 -1.435420	 -1.019117
 -0.965754	 10.044895	 -1.434246	 -1.057140
 -0.966928	 10.044895	 -1.433071	 -1.028009
 -0.968103	 10.044895	 -1.431897	 -1.063273
 -0.969277	 10.044895	 -1.430723	 -1.034449
 -0.970451	 10.044895	 -1.429549	 -1.058367
 -0.971625	 10.044895	 -1.428375	 -1.055914
 -0.972799	 10.044895	 -1.427201	 -1.043035
 -0.973973	 10.044895	 -1.426026	 -1.047021
 -0.975148	 10.044895	 -1.424852	 -1.028009
 -0.976322	 10.044895	 -1.423678	 -1.040888
 -0.977496	 10.044895	 -1.422504	 -1.024023
 -0.978670	 10.044895	 -1.421330	 -1.046408
 -0.979844	 10.044895	 -1.420156	 -1.049168
 -0.981018	 10.044895	 -1.418981	 -1.062047
 -0.982193	 10.044895	 -1.417807	 -1.007464
 -0.983367	 10.044895	 -1.416633	 -1.035675
 -0.984541	 10.044895	 -1.415459	 -1.015437
 -0.985715	 10.044895	 -1.414285	 -1.061433
 -0.986889	 10.044895	 -1.413110	 -1.030156
 -0.988063	 10.044895	 -1.411936	 -1.008691
 -0.989238	 10.044895	 -1.410762	 -1.034449
 -0.990412	 10.036003	 -1.409588	 -1.027702
 -0.991586	  9.989393	 -1.408414	 -1.058367
 -0.992760	  9.945236	 -1.407240	 -1.031382
 -0.993934	  9.896787	 -1.406066	 -1.056527
 -0.995108	  9.836071	 -1.404891	 -1.014823
 -0.996283	  9.813993	 -1.403717	 -1.052847
 -0.997457	  9.730586	 -1.402543	 -1.046714
 -0.998631	  9.701148	 -1.401369	 -1.017890
 -0.999805	  9.651471	 -1.400195	 -1.039355
 -1.000979	  9.606089	 -1.399021	 -1.032302
 -1.002153	  9.530654	 -1.397846	 -1.019730
 -1.003328	  9.511028	 -1.396672	 -1.005011
 -1.004502	  9.450314	 -1.395498	 -1.000105
 -1.005676	  9.392051	 -1.394324	 -0.991519
 -1.006850	  9.348508	 -1.393150	 -1.019730
 -1.008024	  9.292699	 -1.391976	 -1.028316
 -1.009199	  9.276752	 -1.390801	 -1.042115
 -1.010373	  9.202545	 -1.389627	 -1.047328
 -1.011547	  9.160842	 -1.388453	 -1.019117
 -1.012721	  9.083568	 -1.387279	 -1.040582
 -1.013895	  9.061489	 -1.386105	 -1.042728
 -1.015069	  9.022545	 -1.384930	 -1.062353
 -1.016243	  8.957844	 -1.383756	 -1.049474
 -1.017418	  8.903261	 -1.382582	 -1.048248
 -1.018592	  8.856651	 -1.381408	 -1.054994
 -1.019766	  8.843159	 -1.380234	 -1.054381
 -1.020940	  8.757298	 -1.379060	 -1.062047
 -1.022114	  8.721727	 -1.377885	 -1.064193
 -1.023288	  8.664079	 -1.376711	 -1.079832
 -1.024463	  8.632801	 -1.375537	 -1.044875
 -1.025637	  8.552154	 -1.374363	 -1.068793
 -1.026811	  8.532222	 -1.373189	 -1.060513
 -1.027985	  8.472733	 -1.372015	 -1.076766
 -1.029159	  8.429190	 -1.370840	 -1.046714
 -1.030334	  8.373381	 -1.369666	 -1.061433
 -1.031508	  8.324931	 -1.368492	 -1.070633
 -1.032682	  8.276481	 -1.367318	 -1.052541
 -1.033856	  8.203194	 -1.366144	 -1.043648
 -1.035030	  8.178968	 -1.364970	 -1.030156
 -1.036204	  8.123773	 -1.363796	 -1.030769
 -1.037379	  8.080229	 -1.362621	 -1.039968
 -1.038553	  8.026874	 -1.361447	 -1.052847
 -1.039727	  7.995289	 -1.360273	 -1.037822
 -1.040901	  7.926294	 -1.359099	 -1.038435
 -1.042075	  7.884591	 -1.357925	 -1.028929
 -1.043249	  7.855153	 -1.356750	 -1.036595
 -1.044424	  7.781558	 -1.355576	 -1.035369
 -1.045598	  7.760706	 -1.354402	 -1.036595
 -1.046772	  7.695085	 -1.353228	 -1.014823
 -1.047946	  7.658594	 -1.352054	 -1.027702
 -1.049120	  7.577333	 -1.350880	 -1.038128
 -1.050294	  7.549736	 -1.349705	 -1.045794
 -1.051468	  7.488407	 -1.348531	 -1.018503
 -1.052643	  7.457129	 -1.347357	 -1.010530
 -1.053817	  7.392121	 -1.346183	 -1.023716
 -1.054991	  7.338765	 -1.345009	 -0.997651
 -1.056165	  7.319139	 -1.343835	 -1.024329
 -1.057339	  7.245545	 -1.342660	 -1.013597
 -1.058514	  7.214880	 -1.341486	 -1.025249
 -1.059688	  7.154778	 -1.340312	 -1.040582
 -1.060862	  7.129327	 -1.339138	 -1.041502
 -1.062036	  7.054199	 -1.337964	 -1.035675
 -1.063210	  7.017402	 -1.336790	 -1.023409
 -1.064384	  6.970486	 -1.335615	 -1.034142
 -1.065559	  6.929089	 -1.334441	 -0.992132
 -1.066733	  6.876959	 -1.333267	 -1.026783
 -1.067907	  6.834642	 -1.332093	 -1.019117
 -1.069081	  6.788646	 -1.330919	 -1.029542
 -1.070255	  6.719957	 -1.329745	 -1.008384
 -1.071429	  6.712598	 -1.328570	 -1.029849
 -1.072604	  6.643297	 -1.327396	 -0.998265
 -1.073778	  6.602820	 -1.326222	 -0.995198
 -1.074952	  6.544251	 -1.325048	 -1.008077
 -1.076126	  6.489055	 -1.323874	 -0.993972
 -1.077300	  6.447045	 -1.322700	 -1.019117
 -1.078474	  6.405341	 -1.321525	 -1.012677
 -1.079648	  6.363024	 -1.320351	 -1.006237
 -1.080823	  6.295563	 -1.319177	 -0.965147
 -1.081997	  6.264592	 -1.318003	 -1.014210
 -1.083171	  6.211542	 -1.316829	 -0.995812
 -1.084345	  6.177812	 -1.315655	 -1.008997
 -1.085519	  6.109123	 -1.314480	 -0.991519
 -1.086694	  6.069260	 -1.313306	 -0.971587
 -1.087868	  5.992292	 -1.312132	 -1.003784
 -1.089042	  5.971134	 -1.310958	 -1.006237
 -1.090216	  5.919618	 -1.309784	 -0.977720
 -1.091390	  5.857369	 -1.308610	 -0.999491
 -1.092564	  5.814745	 -1.307435	 -1.007771
 -1.093739	  5.746057	 -1.306261	 -0.976186
 -1.094913	  5.714166	 -1.305087	 -0.984159
 -1.096087	  5.652837	 -1.303913	 -0.987226
 -1.097261	  5.619720	 -1.302739	 -0.977413
 -1.098435	  5.544592	 -1.301565	 -0.995198
 -1.099609	  5.522207	 -1.300390	 -0.979866
 -1.100784	  5.461492	 -1.299216	 -0.989679
 -1.101958	  5.426534	 -1.298042	 -0.967294
 -1.103132	  5.364593	 -1.296868	 -0.982319
 -1.104306	  5.296824	 -1.295694	 -0.968827
 -1.105480	  5.285785	 -1.294520	 -0.969134
 -1.106654	  5.232429	 -1.293345	 -0.995812
 -1.107829	  5.174167	 -1.292171	 -0.988145
 -1.109003	  5.109465	 -1.290997	 -0.965760
 -1.110177	  5.100266	 -1.289823	 -0.915778
 -1.111351	  5.029737	 -1.288649	 -0.944909
 -1.112525	  4.984354	 -1.287475	 -0.942456
 -1.113699	  4.906467	 -1.286300	 -0.952575
 -1.114874	  4.867217	 -1.285126	 -0.896152
 -1.116048	  4.821833	 -1.283952	 -0.933870
 -1.117222	  4.766637	 -1.282778	 -0.905965
 -1.118396	  4.718801	 -1.281604	 -0.898299
 -1.119570	  4.666365	 -1.280429	 -0.885420
 -1.120744	  4.647047	 -1.279255	 -0.884500
 -1.121919	  4.561186	 -1.278081	 -0.882967
 -1.123093	  4.541561	 -1.276907	 -0.858435
 -1.124267	  4.499244	 -1.275733	 -0.866408
 -1.125441	  4.454474	 -1.274559	 -0.817345
 -1.126615	  4.401731	 -1.273385	 -0.814278
 -1.127789	  4.337949	 -1.272210	 -0.771655
 -1.128964	  4.296246	 -1.271036	 -0.763376
 -1.130138	  4.264355	 -1.269862	 -0.732711
 -1.131312	  4.230011	 -1.268688	 -0.756016
 -1.132486	  4.151204	 -1.267514	 -0.727192
 -1.133660	  4.130352	 -1.266339	 -0.756016
 -1.134835	  4.062277	 -1.265165	 -0.738537
 -1.136009	  4.043571	 -1.263991	 -0.716152
 -1.137183	  3.974883	 -1.262817	 -0.684262
 -1.138357	  3.959551	 -1.261643	 -0.716152
 -1.139531	  3.880744	 -1.260469	 -0.770122
 -1.140705	  3.822175	 -1.259294	 -0.737924
 -1.141879	  3.793350	 -1.258120	 -0.732405
 -1.143054	  3.755327	 -1.256946	 -0.678435
 -1.144228	  3.714543	 -1.255772	 -0.665250
 -1.145402	  3.625309	 -1.254598	 -0.633972
 -1.146576	  3.602311	 -1.253424	 -0.614653
 -1.147750	  3.544356	 -1.252249	 -0.551791
 -1.148924	  3.514304	 -1.251075	 -0.504568
 -1.150099	  3.437337	 -1.249901	 -0.466544
 -1.151273	  3.400846	 -1.248727	 -0.414415
 -1.152447	  3.344424	 -1.247553	 -0.386817
 -1.153621	  3.311306	 -1.246379	 -0.333461
 -1.154795	  3.256417	 -1.245204	 -0.290838
 -1.155970	  3.187422	 -1.244030	 -0.223683
 -1.157144	  3.161051	 -1.242856	 -0.192405
 -1.158318	  3.102175	 -1.241682	 -0.139356
 -1.159492	  3.079484	 -1.240508	 -0.098572
 -1.160666	  3.000370	 -1.239334	 -0.045216
 -1.161840	  2.964799	 -1.238159	  0.009367
 -1.163015	  2.920029	 -1.236985	  0.058430
 -1.164189	  2.870353	 -1.235811	  0.104120
 -1.165363	  2.809637	 -1.234637	  0.130184
 -1.166537	  2.766707	 -1.233463	  0.198259
 -1.167711	  2.732976	 -1.232289	  0.235670
 -1.168885	  2.664901	 -1.231114	  0.298838
 -1.170060	  2.636690	 -1.229940	  0.333796
 -1.171234	  2.575975	 -1.228766	  0.383165
 -1.172408	  2.544084	 -1.227592	  0.431922
 -1.173582	  2.473556	 -1.226418	  0.477918
 -1.174756	  2.437985	 -1.225244	  0.526981
 -1.175930	  2.383402	 -1.224069	  0.561325
 -1.177104	  2.348445	 -1.222895	  0.629400
 -1.178279	  2.296315	 -1.221721	  0.661291
 -1.179453	  2.227321	 -1.220547	  0.718327
 -1.180627	  2.193897	 -1.219373	  0.755431
 -1.181801	  2.154953	 -1.218199	  0.827185
 -1.182975	  2.119689	 -1.217024	  0.863063
 -1.184150	  2.038121	 -1.215850	  0.899247
 -1.185324	  1.997031	 -1.214676	  0.956282
 -1.186498	  1.932636	 -1.213502	  1.012092
 -1.187672	  1.911784	 -1.212328	  1.073420
 -1.188846	  1.869467	 -1.211154	  1.101632
 -1.190020	  1.809672	 -1.209979	  1.163574
 -1.191195	  1.757849	 -1.208805	  1.189332
 -1.192369	  1.728105	 -1.207631	  1.260780
 -1.193543	  1.677202	 -1.206457	  1.297270
 -1.194717	  1.612500	 -1.205283	  1.358292
 -1.195891	  1.585822	 -1.204108	  1.401222
 -1.197065	  1.512227	 -1.202934	  1.448446
 -1.198240	  1.500268	 -1.201760	  1.504561
 -1.199414	  1.426367	 -1.200586	  1.545652
 -1.200588	  1.377611	 -1.199412	  1.616486
 -1.201762	  1.334681	 -1.198238	  1.650217
 -1.202936	  1.300950	 -1.197064	  1.711546
 -1.204110	  1.241461	 -1.195889	  1.730558
 -1.205285	  1.185652	 -1.194715	  1.812432
 -1.206459	  1.165107	 -1.193541	  1.849535
 -1.207633	  1.102858	 -1.192367	  1.913011
 -1.208807	  1.059928	 -1.191193	  1.944595
 -1.209981	  0.991853	 -1.190019	  2.002551
 -1.211155	  0.961802	 -1.188844	  2.069399
 -1.212330	  0.902006	 -1.187670	  2.095770
 -1.213504	  0.859690	 -1.186496	  2.166298
 -1.214678	  0.814613	 -1.185322	  2.198803
 -1.215852	  0.769230	 -1.184148	  2.270251
 -1.217026	  0.736112	 -1.182973	  2.299995
 -1.218200	  0.656998	 -1.181799	  2.376656
 -1.219375	  0.637986	 -1.180625	  2.414067
 -1.220549	  0.572978	 -1.179451	  2.471409
 -1.221723	  0.553353	 -1.178277	  2.524458
 -1.222897	  0.483438	 -1.177103	  2.558803
 -1.224071	  0.436828	 -1.175928	  2.604799
 -1.225245	  0.394818	 -1.174754	  2.665515
 -1.226420	  0.355261	 -1.173580	  2.742789
 -1.227594	  0.298838	 -1.172406	  2.761801
 -1.228768	  0.248855	 -1.171232	  2.825583
 -1.229942	  0.213898	 -1.170058	  2.861153
 -1.231116	  0.169435	 -1.168883	  2.926468
 -1.232290	  0.140610	 -1.167709	  2.964492
 -1.233465	  0.060883	 -1.166535	  3.021221
 -1.234639	  0.044017	 -1.165361	  3.073964
 -1.235813	 -0.021911	 -1.164187	  3.120574
 -1.236987	 -0.053189	 -1.163013	  3.185582
 -1.238161	 -0.107465	 -1.161839	  3.218700
 -1.239336	 -0.154688	 -1.160664	  3.303947
 -1.240510	 -0.185046	 -1.159490	  3.338904
 -1.241684	 -0.241775	 -1.158316	  3.395327
 -1.242858	 -0.279798	 -1.157142	  3.426298
 -1.244032	 -0.343274	 -1.155968	  3.505718
 -1.245206	 -0.376391	 -1.154794	  3.558768
 -1.246381	 -0.430360	 -1.153619	  3.600471
 -1.247555	 -0.460412	 -1.152445	  3.652601
 -1.248729	 -0.526033	 -1.151271	  3.685718
 -1.249903	 -0.566510	 -1.150097	  3.765139
 -1.251077	 -0.610667	 -1.148923	  3.793350
 -1.252251	 -0.648691	 -1.147748	  3.872464
 -1.253425	 -0.696527	 -1.146574	  3.904355
 -1.254600	 -0.759083	 -1.145400	  3.981629
 -1.255774	 -0.789134	 -1.144226	  4.011681
 -1.256948	 -0.843410	 -1.143052	  4.063197
 -1.258122	 -0.871621	 -1.141878	  4.120233
 -1.259296	 -0.933870	 -1.140703	  4.183095
 -1.260471	 -0.963614	 -1.139529	  4.241970
 -1.261645	 -1.029849	 -1.138355	  4.279074
 -1.262819	 -1.065113	 -1.137181	  4.345922
 -1.263993	 -1.105590	 -1.136007	  4.392838
 -1.265167	 -1.139627	 -1.134833	  4.470419
 -1.266341	 -1.193597	 -1.133659	  4.490965
 -1.267516	 -1.262592	 -1.132484	  4.546161
 -1.268690	 -1.287123	 -1.131310	  4.609023
 -1.269864	 -1.345999	 -1.130136	  4.679857
 -1.271038	 -1.374517	 -1.128962	  4.712055
 -1.272212	 -1.444738	 -1.127787	  4.756211
 -1.273386	 -1.475402	 -1.126613	  4.828579
 -1.274561	 -1.524772	 -1.125439	  4.873349
 -1.275735	 -1.571688	 -1.124265	  4.932225
 -1.276909	 -1.626884	 -1.123091	  4.973315
 -1.278083	 -1.673801	 -1.121917	  5.057335
 -1.279257	 -1.700479	 -1.120743	  5.085853
 -1.280431	 -1.759048	 -1.119568	  5.159754
 -1.281606	 -1.794312	 -1.118394	  5.199924
 -1.282780	 -1.865453	 -1.117220	  5.254814
 -1.283954	 -1.887225	 -1.116046	  5.322276
 -1.285128	 -1.954993	 -1.114872	  5.362139
 -1.286302	 -1.988111	 -1.113698	  5.432054
