[Point Spectroscopy Data]
Approach Rate=0.0760 µm/sec
Retreat Rate=0.0760 µm/sec
Z Start=-0.6000 µm
Z End=-1.1000 µm
Cycle Hold Time=0.000 sec
½ Cycle Hold Time=0.000 sec
Z Piezo Linerizer On=no

[Series layout]
Points Number=512
Series Number=1
Trace Z Position, µm	Deflection Signal, V	Retrace Z Position, µm	Deflection Signal, V

[Data]
 -0.600000	  9.848950	 -1.100000	 -1.654789
 -0.600979	  9.822886	 -1.099021	 -1.663682
 -0.601958	  9.770450	 -1.098042	 -1.622898
 -0.602936	  9.756957	 -1.097064	 -1.611246
 -0.603915	  9.693175	 -1.096085	 -1.616765
 -0.604893	  9.684282	 -1.095107	 -1.576901
 -0.605872	  9.621421	 -1.094128	 -1.564329
 -0.606850	  9.598116	 -1.093150	 -1.539798
 -0.607829	  9.561318	 -1.092171	 -1.538571
 -0.608807	  9.526974	 -1.091193	 -1.517106
 -0.609785	  9.482818	 -1.090214	 -1.502080
 -0.610764	  9.433141	 -1.089236	 -1.501467
 -0.611742	  9.414742	 -1.088258	 -1.472949
 -0.612721	  9.351574	 -1.087279	 -1.461603
 -0.613699	  9.336855	 -1.086301	 -1.452711
 -0.614678	  9.282579	 -1.085322	 -1.450564
 -0.615656	  9.265100	 -1.084344	 -1.407634
 -0.616635	  9.205611	 -1.083365	 -1.423580
 -0.617613	  9.193346	 -1.082387	 -1.390769
 -0.618592	  9.130177	 -1.081408	 -1.401195
 -0.619570	  9.089087	 -1.080430	 -1.362557
 -0.620549	  9.061795	 -1.079451	 -1.378503
 -0.621527	  9.009359	 -1.078473	 -1.379730
 -0.622506	  8.988508	 -1.077494	 -1.357651
 -0.623484	  8.933926	 -1.076516	 -1.332506
 -0.624463	  8.914913	 -1.075537	 -1.348145
 -0.625441	  8.829666	 -1.074559	 -1.325760
 -0.626420	  8.832733	 -1.073580	 -1.311041
 -0.627398	  8.772324	 -1.072602	 -1.328520
 -0.628376	  8.760365	 -1.071624	 -1.302455
 -0.629355	  8.691064	 -1.070645	 -1.320547
 -0.630333	  8.653653	 -1.069667	 -1.283137
 -0.631312	  8.617469	 -1.068688	 -1.271178
 -0.632290	  8.578218	 -1.067710	 -1.284363
 -0.633269	  8.550007	 -1.066731	 -1.277924
 -0.634247	  8.486225	 -1.065753	 -1.277924
 -0.635226	  8.484999	 -1.064774	 -1.290496
 -0.636204	  8.418457	 -1.063796	 -1.286816
 -0.637183	  8.415697	 -1.062817	 -1.267191
 -0.638161	  8.343329	 -1.061839	 -1.296936
 -0.639140	  8.305305	 -1.060860	 -1.256459
 -0.640118	  8.259616	 -1.059882	 -1.263818
 -0.641097	  8.234777	 -1.058903	 -1.282830
 -0.642075	  8.205647	 -1.057925	 -1.289883
 -0.643054	  8.140944	 -1.056946	 -1.274857
 -0.644032	  8.118866	 -1.055968	 -1.261978
 -0.645011	  8.058151	 -1.054989	 -1.267191
 -0.645989	  8.047112	 -1.054011	 -1.280377
 -0.646967	  7.982103	 -1.053033	 -1.283443
 -0.647946	  7.964318	 -1.052054	 -1.258299
 -0.648924	  7.893790	 -1.051076	 -1.287430
 -0.649903	  7.873551	 -1.050097	 -1.251552
 -0.650881	  7.828781	 -1.049119	 -1.245420
 -0.651860	  7.790758	 -1.048140	 -1.256459
 -0.652838	  7.748441	 -1.047162	 -1.277310
 -0.653817	  7.698764	 -1.046183	 -1.253392
 -0.654795	  7.671780	 -1.045205	 -1.236220
 -0.655774	  7.614130	 -1.044226	 -1.254006
 -0.656752	  7.609838	 -1.043248	 -1.220888
 -0.657731	  7.529497	 -1.042269	 -1.254619
 -0.658709	  7.511098	 -1.041291	 -1.255845
 -0.659688	  7.457742	 -1.040312	 -1.272711
 -0.660666	  7.434437	 -1.039334	 -1.234994
 -0.661645	  7.374335	 -1.038355	 -1.266885
 -0.662623	  7.344897	 -1.037377	 -1.228554
 -0.663602	  7.300434	 -1.036398	 -1.265965
 -0.664580	  7.253518	 -1.035420	 -1.256459
 -0.665559	  7.233279	 -1.034441	 -1.248486
 -0.666537	  7.176243	 -1.033463	 -1.236527
 -0.667515	  7.150486	 -1.032485	 -1.245726
 -0.668494	  7.086090	 -1.031506	 -1.252472
 -0.669472	  7.073824	 -1.030528	 -1.238673
 -0.670451	  7.008203	 -1.029549	 -1.252779
 -0.671429	  6.986738	 -1.028571	 -1.222421
 -0.672408	  6.938288	 -1.027592	 -1.264125
 -0.673386	  6.904557	 -1.026614	 -1.230701
 -0.674365	  6.861014	 -1.025635	 -1.242353
 -0.675343	  6.806431	 -1.024657	 -1.243580
 -0.676322	  6.794165	 -1.023678	 -1.238673
 -0.677300	  6.722717	 -1.022700	 -1.227021
 -0.678279	  6.715664	 -1.021721	 -1.227634
 -0.679257	  6.647590	 -1.020743	 -1.233767
 -0.680236	  6.628578	 -1.019764	 -1.231314
 -0.681214	  6.560503	 -1.018786	 -1.236527
 -0.682193	  6.544558	 -1.017807	 -1.209236
 -0.683171	  6.497334	 -1.016829	 -1.245420
 -0.684149	  6.455631	 -1.015850	 -1.236220
 -0.685128	  6.420060	 -1.014872	 -1.221195
 -0.686106	  6.371610	 -1.013894	 -1.216288
 -0.687085	  6.337880	 -1.012915	 -1.215369
 -0.688063	  6.287897	 -1.011937	 -1.192370
 -0.689042	  6.271031	 -1.010958	 -1.186544
 -0.690020	  6.196517	 -1.009980	 -1.215062
 -0.690999	  6.174132	 -1.009001	 -1.203716
 -0.691977	  6.125682	 -1.008023	 -1.209849
 -0.692956	  6.108203	 -1.007044	 -1.201263
 -0.693934	  6.057301	 -1.006066	 -1.223341
 -0.694913	  6.006091	 -1.005087	 -1.226714
 -0.695891	  5.972973	 -1.004109	 -1.220888
 -0.696870	  5.927590	 -1.003130	 -1.233154
 -0.697848	  5.896926	 -1.002152	 -1.196357
 -0.698827	  5.844183	 -1.001173	 -1.211075
 -0.699805	  5.830997	 -1.000195	 -1.197583
 -0.700784	  5.752803	 -0.999216	 -1.213529
 -0.701762	  5.753417	 -0.998238	 -1.209236
 -0.702740	  5.682889	 -0.997259	 -1.235607
 -0.703719	  5.661424	 -0.996281	 -1.212302
 -0.704697	  5.605614	 -0.995302	 -1.243580
 -0.705676	  5.576790	 -0.994324	 -1.207702
 -0.706654	  5.543059	 -0.993346	 -1.222421
 -0.707633	  5.493383	 -0.992367	 -1.192064
 -0.708611	  5.462105	 -0.991389	 -1.208929
 -0.709590	  5.404456	 -0.990410	 -1.224261
 -0.710568	  5.387284	 -0.989432	 -1.187464
 -0.711547	  5.324728	 -0.988453	 -1.207089
 -0.712525	  5.300197	 -0.987475	 -1.171212
 -0.713504	  5.244388	 -0.986496	 -1.214142
 -0.714482	  5.225070	 -0.985518	 -1.191450
 -0.715461	  5.169567	 -0.984539	 -1.196050
 -0.716439	  5.127863	 -0.983561	 -1.200036
 -0.717418	  5.105172	 -0.982582	 -1.188384
 -0.718396	  5.043843	 -0.981604	 -1.183478
 -0.719375	  5.018392	 -0.980625	 -1.206782
 -0.720353	  4.963503	 -0.979647	 -1.200650
 -0.721331	  4.951850	 -0.978669	 -1.187157
 -0.722310	  4.880095	 -0.977690	 -1.208622
 -0.723288	  4.865990	 -0.976712	 -1.188997
 -0.724267	  4.804355	 -0.975733	 -1.209236
 -0.725245	  4.771544	 -0.974755	 -1.181638
 -0.726224	  4.722481	 -0.973776	 -1.177958
 -0.727202	  4.689977	 -0.972798	 -1.188690
 -0.728181	  4.653792	 -0.971819	 -1.201569
 -0.729159	  4.599823	 -0.970841	 -1.192064
 -0.730138	  4.581425	 -0.969862	 -1.184397
 -0.731116	  4.518256	 -0.968884	 -1.194517
 -0.732095	  4.510897	 -0.967905	 -1.185011
 -0.733073	  4.439142	 -0.966927	 -1.190224
 -0.734052	  4.421970	 -0.965948	 -1.183478
 -0.735030	  4.363401	 -0.964970	 -1.187157
 -0.736009	  4.338563	 -0.963991	 -1.183171
 -0.736987	  4.292260	 -0.963013	 -1.200650
 -0.737966	  4.256075	 -0.962034	 -1.178571
 -0.738944	  4.220198	 -0.961056	 -1.179185
 -0.739922	  4.168682	 -0.960078	 -1.197890
 -0.740901	  4.147830	 -0.959099	 -1.184704
 -0.741879	  4.084662	 -0.958121	 -1.187157
 -0.742858	  4.062890	 -0.957142	 -1.196357
 -0.743836	  4.009227	 -0.956164	 -1.179798
 -0.744815	  3.982549	 -0.955185	 -1.180718
 -0.745793	  3.929807	 -0.954207	 -1.181024
 -0.746772	  3.905582	 -0.953228	 -1.160173
 -0.747750	  3.852839	 -0.952250	 -1.183784
 -0.748729	  3.812056	 -0.951271	 -1.158946
 -0.749707	  3.775258	 -0.950293	 -1.183478
 -0.750686	  3.730488	 -0.949314	 -1.182558
 -0.751664	  3.708717	 -0.948336	 -1.172438
 -0.752643	  3.645548	 -0.947357	 -1.173665
 -0.753621	  3.624696	 -0.946379	 -1.221808
 -0.754600	  3.568887	 -0.945400	 -1.246646
 -0.755578	  3.555395	 -0.944422	 -1.205249
 -0.756557	  3.488546	 -0.943443	 -1.220275
 -0.757535	  3.453589	 -0.942465	 -1.231007
 -0.758513	  3.411579	 -0.941486	 -1.244806
 -0.759492	  3.379994	 -0.940508	 -1.225794
 -0.760470	  3.341971	 -0.939529	 -1.215369
 -0.761449	  3.289841	 -0.938551	 -1.187770
 -0.762427	  3.260403	 -0.937573	 -1.200036
 -0.763406	  3.206741	 -0.936594	 -1.196050
 -0.764384	  3.189262	 -0.935616	 -1.196050
 -0.765363	  3.113828	 -0.934637	 -1.195437
 -0.766341	  3.105242	 -0.933659	 -1.178571
 -0.767320	  3.047593	 -0.932680	 -1.183171
 -0.768298	  3.021528	 -0.931702	 -1.168759
 -0.769277	  2.982584	 -0.930723	 -1.163239
 -0.770255	  2.939041	 -0.929745	 -1.149747
 -0.771234	  2.910830	 -0.928766	 -1.166919
 -0.772212	  2.854100	 -0.927788	 -1.145147
 -0.773191	  2.833249	 -0.926809	 -1.165692
 -0.774169	  2.778666	 -0.925831	 -1.160173
 -0.775148	  2.753828	 -0.924852	 -1.132575
 -0.776126	  2.693419	 -0.923874	 -1.132268
 -0.777104	  2.681460	 -0.922896	 -1.153733
 -0.778083	  2.621971	 -0.921917	 -1.157413
 -0.779061	  2.593760	 -0.920939	 -1.141774
 -0.780040	  2.542244	 -0.919960	 -1.155266
 -0.781018	  2.508513	 -0.918982	 -1.114176
 -0.781997	  2.479075	 -0.918003	 -1.122762
 -0.782975	  2.421119	 -0.917025	 -1.135641
 -0.783954	  2.396894	 -0.916046	 -1.118469
 -0.784932	  2.331273	 -0.915068	 -1.109883
 -0.785911	  2.338019	 -0.914089	 -1.089031
 -0.786889	  2.276690	 -0.913111	 -1.127362
 -0.787868	  2.242346	 -0.912132	 -1.103137
 -0.788846	  2.196350	 -0.911154	 -1.111416
 -0.789825	  2.167525	 -0.910175	 -1.083818
 -0.790803	  2.116622	 -0.909197	 -1.099457
 -0.791782	  2.092704	 -0.908218	 -1.081672
 -0.792760	  2.060813	 -0.907240	 -1.085658
 -0.793738	  2.000404	 -0.906261	 -1.095777
 -0.794717	  1.979246	 -0.905283	 -1.102217
 -0.795695	  1.922517	 -0.904305	 -1.120616
 -0.796674	  1.906265	 -0.903326	 -1.082285
 -0.797652	  1.848002	 -0.902348	 -1.135948
 -0.798631	  1.826537	 -0.901369	 -1.105897
 -0.799609	  1.766435	 -0.900391	 -1.101910
 -0.800588	  1.746503	 -0.899412	 -1.090871
 -0.801566	  1.700813	 -0.898434	 -1.077992
 -0.802545	  1.650524	 -0.897455	 -1.064806
 -0.803523	  1.619859	 -0.896477	 -1.071859
 -0.804502	  1.578769	 -0.895498	 -1.076459
 -0.805480	  1.555464	 -0.894520	 -1.059287
 -0.806459	  1.500268	 -0.893541	 -1.062660
 -0.807437	  1.470831	 -0.892563	 -1.048248
 -0.808416	  1.418088	 -0.891584	 -1.051621
 -0.809394	  1.393556	 -0.890606	 -1.032302
 -0.810373	  1.348786	 -0.889627	 -1.028316
 -0.811351	  1.328241	 -0.888649	 -1.005011
 -0.812330	  1.267219	 -0.887670	 -1.012984
 -0.813308	  1.224289	 -0.886692	 -0.997958
 -0.814286	  1.194238	 -0.885714	 -0.993358
 -0.815265	  1.152228	 -0.884735	 -1.005011
 -0.816243	  1.122483	 -0.883757	 -0.997345
 -0.817222	  1.066061	 -0.882778	 -1.019117
 -0.818200	  1.051955	 -0.881800	 -0.978946
 -0.819179	  0.989400	 -0.880821	 -0.995812
 -0.820157	  0.969161	 -0.879843	 -0.968214
 -0.821136	  0.917645	 -0.878864	 -0.963307
 -0.822114	  0.883301	 -0.877886	 -0.926203
 -0.823093	  0.836691	 -0.876907	 -0.916084
 -0.824071	  0.807867	 -0.875929	 -0.863955
 -0.825050	  0.765243	 -0.874950	 -0.862728
 -0.826028	  0.710354	 -0.873972	 -0.854142
 -0.827007	  0.695022	 -0.872993	 -0.839730
 -0.827985	  0.635226	 -0.872015	 -0.879900
 -0.828964	  0.625721	 -0.871036	 -1.019117
 -0.829942	  0.564392	 -0.870058	 -1.005318
 -0.830920	  0.535567	 -0.869079	 -0.952575
 -0.831899	  0.477305	 -0.868101	 -0.927123
 -0.832877	  0.455533	 -0.867123	 -0.879287
 -0.833856	  0.407084	 -0.866144	 -0.857822
 -0.834834	  0.374579	 -0.865166	 -0.805692
 -0.835813	  0.340542	 -0.864187	 -0.779934
 -0.836791	  0.289946	 -0.863209	 -0.748043
 -0.837770	  0.272467	 -0.862230	 -0.708793
 -0.838748	  0.226470	 -0.861252	 -0.662796
 -0.839727	  0.194579	 -0.860273	 -0.616800
 -0.840705	  0.137544	 -0.859295	 -0.592268
 -0.841684	  0.117612	 -0.858316	 -0.538299
 -0.842662	  0.063029	 -0.857338	 -0.517447
 -0.843641	  0.042177	 -0.856359	 -0.458572
 -0.844619	 -0.010565	 -0.855381	 -0.427294
 -0.845598	 -0.056868	 -0.854402	 -0.384364
 -0.846576	 -0.080173	 -0.853424	 -0.353086
 -0.847555	 -0.130156	 -0.852445	 -0.304330
 -0.848533	 -0.160207	 -0.851467	 -0.272132
 -0.849512	 -0.208657	 -0.850488	 -0.247601
 -0.850490	 -0.227362	 -0.849510	 -0.190872
 -0.851469	 -0.285318	 -0.848531	 -0.170327
 -0.852447	 -0.306476	 -0.847553	 -0.102865
 -0.853425	 -0.357073	 -0.846575	 -0.086000
 -0.854404	 -0.391723	 -0.845596	 -0.026511
 -0.855382	 -0.432507	 -0.844618	 -0.002899
 -0.856361	 -0.473291	 -0.843639	  0.054137
 -0.857339	 -0.495982	 -0.842661	  0.079281
 -0.858318	 -0.551178	 -0.841682	  0.118532
 -0.859296	 -0.580923	 -0.840704	  0.161155
 -0.860275	 -0.634279	 -0.839725	  0.202859
 -0.861253	 -0.647464	 -0.838747	  0.251615
 -0.862232	 -0.706953	 -0.837768	  0.284119
 -0.863210	 -0.728725	 -0.836790	  0.333796
 -0.864189	 -0.783001	 -0.835811	  0.366300
 -0.865167	 -0.807532	 -0.834833	  0.414136
 -0.866146	 -0.855062	 -0.833854	  0.441734
 -0.867124	 -0.888486	 -0.832876	  0.492944
 -0.868102	 -0.928963	 -0.831897	  0.523915
 -0.869081	 -0.963307	 -0.830919	  0.575431
 -0.870059	 -0.997345	 -0.829940	  0.608855
 -0.871038	 -1.058674	 -0.828962	  0.645652
 -0.872016	 -1.071246	 -0.827984	  0.698088
 -0.872995	 -1.126135	 -0.827005	  0.725993
 -0.873973	 -1.143307	 -0.826027	  0.780576
 -0.874952	 -1.195130	 -0.825048	  0.805414
 -0.875930	 -1.237447	 -0.824070	  0.864903
 -0.876909	 -1.272711	 -0.823091	  0.888821
 -0.877887	 -1.307362	 -0.822113	  0.937270
 -0.878866	 -1.342012	 -0.821134	  0.972228
 -0.879844	 -1.389542	 -0.820156	  1.013931
 -0.880823	 -1.415607	 -0.819177	  1.055022
 -0.881801	 -1.468656	 -0.818199	  1.096112
 -0.882780	 -1.485828	 -0.817220	  1.145788
 -0.883758	 -1.544091	 -0.816242	  1.175226
 -0.884737	 -1.568622	 -0.815263	  1.238395
 -0.885715	 -1.619525	 -0.814285	  1.250660
 -0.886693	 -1.657549	 -0.813307	  1.317509
 -0.887672	 -1.697719	 -0.812328	  1.346333
 -0.888650	 -1.729917	 -0.811350	  1.400303
 -0.889629	 -1.756901	 -0.810371	  1.419928
 -0.890607	 -1.815164	 -0.809393	  1.481256
 -0.891586	 -1.831109	 -0.808414	  1.522347
 -0.892564	 -1.881399	 -0.807436	  1.557917
 -0.893543	 -1.897957	 -0.806457	  1.610967
 -0.894521	 -1.960513	 -0.805479	  1.628752
 -0.895500	 -1.977378	 -0.804500	  1.694374
 -0.896478	 -2.041467	 -0.803522	  1.717372
 -0.897457	 -2.066612	 -0.802543	  1.782381
 -0.898435	 -2.114754	 -0.801565	  1.800166
 -0.899414	 -2.147565	 -0.800586	  1.854748
 -0.900392	 -2.184669	 -0.799608	  1.897065
 -0.901371	 -2.232506	 -0.798629	  1.930796
 -0.902349	 -2.250904	 -0.797651	  1.982926
 -0.903328	 -2.314073	 -0.796672	  2.020643
 -0.904306	 -2.329098	 -0.795694	  2.068786
 -0.905284	 -2.378775	 -0.794715	  2.099757
 -0.906263	 -2.403919	 -0.793737	  2.156486
 -0.907241	 -2.462795	 -0.792758	  2.179791
 -0.908220	 -2.486713	 -0.791780	  2.239280
 -0.909198	 -2.517991	 -0.790802	  2.263811
 -0.910177	 -2.561534	 -0.789823	  2.327593
 -0.911155	 -2.592199	 -0.788845	  2.354884
 -0.912134	 -2.644022	 -0.787866	  2.403028
 -0.913112	 -2.666713	 -0.786888	  2.454544
 -0.914091	 -2.723135	 -0.785909	  2.492567
 -0.915069	 -2.742454	 -0.784931	  2.537951
 -0.916048	 -2.802556	 -0.783952	  2.567389
 -0.917026	 -2.823408	 -0.782974	  2.631784
 -0.918005	 -2.876151	 -0.781995	  2.653555
 -0.918983	 -2.897616	 -0.781017	  2.707218
