[Point Spectroscopy Data]
Approach Rate=0.1063 µm/sec
Retreat Rate=0.1063 µm/sec
Z Start=-0.5000 µm
Z End=-1.2000 µm
Cycle Hold Time=0.000 sec
½ Cycle Hold Time=0.000 sec
Z Piezo Linerizer On=no

[Series layout]
Points Number=512
Series Number=1
Trace Z Position, µm	Deflection Signal, V	Retrace Z Position, µm	Deflection Signal, V

[Data]
 -0.500000	  8.813721	 -1.200000	 -0.253120
 -0.501371	  8.742273	 -1.198629	 -0.237482
 -0.502741	  8.700876	 -1.197259	 -0.230735
 -0.504111	  8.646907	 -1.195889	 -0.220616
 -0.505480	  8.586804	 -1.194519	 -0.196698
 -0.506850	  8.548474	 -1.193150	 -0.203444
 -0.508220	  8.494198	 -1.191780	 -0.185352
 -0.509590	  8.461694	 -1.190410	 -0.178299
 -0.510960	  8.369394	 -1.189040	 -0.172166
 -0.512330	  8.353755	 -1.187670	 -0.153768
 -0.513700	  8.261148	 -1.186300	 -0.151315
 -0.515070	  8.253790	 -1.184930	 -0.119730
 -0.516439	  8.183262	 -1.183561	 -0.121570
 -0.517809	  8.115187	 -1.182191	 -0.094279
 -0.519179	  8.064897	 -1.180821	 -0.115744
 -0.520549	  8.009088	 -1.179451	 -0.099492
 -0.521919	  7.968611	 -1.178081	 -0.098265
 -0.523289	  7.884591	 -1.176711	 -0.084773
 -0.524659	  7.862512	 -1.175341	 -0.087533
 -0.526028	  7.794437	 -1.173972	 -0.071894
 -0.527398	  7.768679	 -1.172602	 -0.050736
 -0.528768	  7.674846	 -1.171232	 -0.061775
 -0.530138	  7.629463	 -1.169862	 -0.036630
 -0.531508	  7.576107	 -1.168492	 -0.021298
 -0.532878	  7.557708	 -1.167122	 -0.022218
 -0.534248	  7.472768	 -1.165752	 -0.035403
 -0.535618	  7.398867	 -1.164383	 -0.029271
 -0.536987	  7.384761	 -1.163013	 -0.032030
 -0.538357	  7.301354	 -1.161643	 -0.046443
 -0.539727	  7.273756	 -1.160273	 -0.032950
 -0.541097	  7.183909	 -1.158903	 -0.014245
 -0.542467	  7.144352	 -1.157533	  0.002314
 -0.543837	  7.074438	 -1.156163	 -0.021298
 -0.545207	  7.034881	 -1.154794	  0.000474
 -0.546576	  6.984284	 -1.153424	 -0.032337
 -0.547946	  6.916210	 -1.152054	 -0.009645
 -0.549316	  6.866533	 -1.150684	 -0.005046
 -0.550686	  6.810724	 -1.149314	  0.001394
 -0.552056	  6.761661	 -1.147944	 -0.014552
 -0.553426	  6.682854	 -1.146574	  0.007527
 -0.554796	  6.668748	 -1.145204	 -0.010872
 -0.556165	  6.585034	 -1.143834	  0.019486
 -0.557535	  6.537811	 -1.142465	  0.002620
 -0.558905	  6.477709	 -1.141095	 -0.003206
 -0.560275	  6.439072	 -1.139725	  0.033285
 -0.561645	  6.371610	 -1.138355	  0.011820
 -0.563015	  6.307215	 -1.136985	 -0.000446
 -0.564385	  6.279617	 -1.135615	 -0.005659
 -0.565754	  6.206636	 -1.134245	  0.008753
 -0.567124	  6.168612	 -1.132876	  0.019179
 -0.568494	  6.069873	 -1.131506	  0.017339
 -0.569864	  6.056381	 -1.130136	  0.017033
 -0.571234	  5.977266	 -1.128766	 -0.008419
 -0.572604	  5.931883	 -1.127396	  0.028072
 -0.573974	  5.876074	 -1.126026	 -0.004126
 -0.575344	  5.830997	 -1.124656	  0.008753
 -0.576713	  5.764456	 -1.123287	  0.008140
 -0.578083	  5.705887	 -1.121917	  0.009980
 -0.579453	  5.678596	 -1.120547	 -0.007192
 -0.580823	  5.600095	 -1.119177	 -0.002286
 -0.582193	  5.567897	 -1.117807	 -0.001673
 -0.583563	  5.479277	 -1.116437	  0.002314
 -0.584933	  5.455972	 -1.115067	  0.020099
 -0.586302	  5.383604	 -1.113698	  0.006913
 -0.587672	  5.335768	 -1.112328	  0.018566
 -0.589042	  5.271373	 -1.110958	  0.002007
 -0.590412	  5.221083	 -1.109588	  0.049844
 -0.591782	  5.185513	 -1.108218	  0.001701
 -0.593152	  5.108851	 -1.106848	  0.032058
 -0.594522	  5.074507	 -1.105478	 -0.003819
 -0.595891	  4.992634	 -1.104109	  0.024699
 -0.597261	  4.956757	 -1.102739	 -0.016085
 -0.598631	  4.897268	 -1.101369	  0.013046
 -0.600001	  4.848818	 -1.099999	  0.016113
 -0.601371	  4.791782	 -1.098629	 -0.003819
 -0.602741	  4.732906	 -1.097259	  0.016113
 -0.604111	  4.677711	 -1.095889	 -0.001059
 -0.605480	  4.618835	 -1.094519	  0.048310
 -0.606850	  4.580198	 -1.093150	 -0.000753
 -0.608220	  4.507830	 -1.091780	  0.033591
 -0.609590	  4.480232	 -1.090410	 -0.001673
 -0.610960	  4.385172	 -1.089040	  0.011206
 -0.612330	  4.351442	 -1.087670	 -0.005966
 -0.613700	  4.287353	 -1.086300	 -0.014245
 -0.615070	  4.250249	 -1.084930	 -0.005659
 -0.616439	  4.177881	 -1.083561	  0.016726
 -0.617809	  4.125752	 -1.082191	  0.020406
 -0.619179	  4.085888	 -1.080821	 -0.003206
 -0.620549	  4.025786	 -1.079451	  0.037578
 -0.621919	  3.979176	 -1.078081	 -0.007192
 -0.623289	  3.887183	 -1.076711	  0.020406
 -0.624659	  3.868171	 -1.075341	  0.006607
 -0.626028	  3.792737	 -1.073972	  0.036351
 -0.627398	  3.763606	 -1.072602	  0.028072
 -0.628768	  3.677439	 -1.071232	  0.031445
 -0.630138	  3.636349	 -1.069862	  0.025312
 -0.631508	  3.581766	 -1.068492	  0.022246
 -0.632878	  3.527797	 -1.067122	  0.040644
 -0.634248	  3.462788	 -1.065752	  0.017953
 -0.635617	  3.405139	 -1.064382	  0.014273
 -0.636987	  3.386741	 -1.063013	 -0.005659
 -0.638357	  3.320506	 -1.061643	 -0.008112
 -0.639727	  3.265923	 -1.060273	  0.009367
 -0.641097	  3.189262	 -1.058903	 -0.012098
 -0.642467	  3.161664	 -1.057533	  0.014273
 -0.643837	  3.086230	 -1.056163	 -0.009339
 -0.645207	  3.022448	 -1.054793	  0.011206
 -0.646576	  2.973078	 -1.053424	  0.007833
 -0.647946	  2.927695	 -1.052054	  0.032978
 -0.649316	  2.877712	 -1.050684	 -0.006579
 -0.650686	  2.805958	 -1.049314	  0.011206
 -0.652056	  2.782039	 -1.047944	  0.010900
 -0.653426	  2.706605	 -1.046574	 -0.012098
 -0.654796	  2.670421	 -1.045204	 -0.013632
 -0.656165	  2.588854	 -1.043834	 -0.024058
 -0.657535	  2.551443	 -1.042465	 -0.022218
 -0.658905	  2.496554	 -1.041095	  0.006913
 -0.660275	  2.442891	 -1.039725	  0.023472
 -0.661645	  2.380336	 -1.038355	 -0.010872
 -0.663015	  2.321460	 -1.036985	  0.010900
 -0.664385	  2.294476	 -1.035615	 -0.001673
 -0.665754	  2.223948	 -1.034245	  0.008140
 -0.667124	  2.190523	 -1.032876	  0.020406
 -0.668494	  2.086571	 -1.031506	  0.019179
 -0.669864	  2.054680	 -1.030136	  0.000781
 -0.671234	  2.006844	 -1.028766	  0.029912
 -0.672604	  1.961767	 -1.027396	  0.018566
 -0.673974	  1.886333	 -1.026026	 -0.002899
 -0.675344	  1.831444	 -1.024656	  0.008753
 -0.676713	  1.783607	 -1.023287	 -0.012712
 -0.678083	  1.738224	 -1.021917	 -0.001059
 -0.679453	  1.687321	 -1.020547	  0.004154
 -0.680823	  1.613113	 -1.019177	  0.020099
 -0.682193	  1.570183	 -1.017807	 -0.003819
 -0.683563	  1.506401	 -1.016437	  0.012126
 -0.684933	  1.470524	 -1.015067	  0.002620
 -0.686302	  1.381904	 -1.013698	 -0.010872
 -0.687672	  1.357679	 -1.012328	 -0.014552
 -0.689042	  1.280098	 -1.010958	 -0.013938
 -0.690412	  1.235021	 -1.009588	  0.002620
 -0.691782	  1.183505	 -1.008218	 -0.003206
 -0.693152	  1.118497	 -1.006848	 -0.002286
 -0.694522	  1.077407	 -1.005478	 -0.009645
 -0.695891	  1.010252	 -1.004109	  0.005687
 -0.697261	  0.969775	 -1.002739	 -0.007499
 -0.698631	  0.900473	 -1.001369	 -0.026511
 -0.700001	  0.870422	 -0.999999	 -0.016085
 -0.701371	  0.794374	 -0.998629	 -0.024364
 -0.702741	  0.746231	 -0.997259	 -0.020071
 -0.704111	  0.706674	 -0.995889	 -0.012098
 -0.705481	  0.650252	 -0.994519	  0.009673
 -0.706850	  0.584017	 -0.993150	 -0.029271
 -0.708220	  0.519622	 -0.991780	  0.006300
 -0.709590	  0.487117	 -0.990410	 -0.002286
 -0.710960	  0.411377	 -0.989040	 -0.008419
 -0.712330	  0.383165	 -0.987670	 -0.037857
 -0.713700	  0.298532	 -0.986300	 -0.032337
 -0.715070	  0.266334	 -0.984930	 -0.038470
 -0.716439	  0.220337	 -0.983561	 -0.027124
 -0.717809	  0.174341	 -0.982191	 -0.017005
 -0.719179	  0.108719	 -0.980821	 -0.028964
 -0.720549	  0.043097	 -0.979451	 -0.000139
 -0.721919	  0.011206	 -0.978081	 -0.017925
 -0.723289	 -0.063921	 -0.976711	 -0.016698
 -0.724659	 -0.092439	 -0.975341	 -0.022218
 -0.726029	 -0.172780	 -0.973971	 -0.013938
 -0.727398	 -0.210804	 -0.972602	 -0.046443
 -0.728768	 -0.277652	 -0.971232	 -0.036017
 -0.730138	 -0.324262	 -0.969862	 -0.059628
 -0.731508	 -0.374551	 -0.968492	 -0.044603
 -0.732878	 -0.424841	 -0.967122	 -0.025284
 -0.734248	 -0.491996	 -0.965752	 -0.023138
 -0.735617	 -0.545045	 -0.964382	 -0.014552
 -0.736987	 -0.586136	 -0.963013	 -0.002286
 -0.738357	 -0.645011	 -0.961643	 -0.011179
 -0.739727	 -0.687328	 -0.960273	 -0.024978
 -0.741097	 -0.762762	 -0.958903	 -0.014245
 -0.742467	 -0.805999	 -0.957533	 -0.045829
 -0.743837	 -0.865795	 -0.956163	 -0.008725
 -0.745207	 -0.897379	 -0.954793	 -0.015165
 -0.746576	 -0.978026	 -0.953424	 -0.016698
 -0.747946	 -1.032302	 -0.952054	 -0.026204
 -0.749316	 -1.075539	 -0.950684	 -0.033564
 -0.750686	 -1.127668	 -0.949314	 -0.010259
 -0.752056	 -1.173665	 -0.947944	 -0.021911
 -0.753426	 -1.251246	 -0.946574	 -0.011485
 -0.754795	 -1.279764	 -0.945204	 -0.007192
 -0.756166	 -1.337106	 -0.943835	 -0.009645
 -0.757535	 -1.382183	 -0.942465	 -0.009952
 -0.758905	 -1.442591	 -0.941095	 -0.005659
 -0.760275	 -1.506987	 -0.939725	  0.002007
 -0.761645	 -1.563102	 -0.938355	 -0.035403
 -0.763015	 -1.609099	 -0.936985	 -0.027431
 -0.764385	 -1.647736	 -0.935615	 -0.030190
 -0.765755	 -1.701092	 -0.934245	  0.004460
 -0.767124	 -1.756288	 -0.932876	 -0.037550
 -0.768494	 -1.830189	 -0.931506	 -0.018845
 -0.769864	 -1.872813	 -0.930136	 -0.013325
 -0.771234	 -1.928928	 -0.928766	 -0.025591
 -0.772604	 -1.968179	 -0.927396	 -0.058708
 -0.773974	 -2.044226	 -0.926026	 -0.049509
 -0.775344	 -2.087463	 -0.924656	 -0.048589
 -0.776713	 -2.131007	 -0.923287	 -0.035403
 -0.778083	 -2.202148	 -0.921917	 -0.041536
 -0.779453	 -2.238945	 -0.920547	 -0.057482
 -0.780823	 -2.304874	 -0.919177	 -0.049816
 -0.782193	 -2.348724	 -0.917807	 -0.065454
 -0.783563	 -2.407293	 -0.916437	 -0.039696
 -0.784933	 -2.452982	 -0.915067	 -0.060855
 -0.786302	 -2.524124	 -0.913698	 -0.047669
 -0.787672	 -2.552948	 -0.912328	 -0.031724
 -0.789042	 -2.617343	 -0.910958	 -0.037857
 -0.790412	 -2.668246	 -0.909588	 -0.039696
 -0.791782	 -2.722829	 -0.908218	 -0.048282
 -0.793152	 -2.784464	 -0.906848	 -0.030497
 -0.794522	 -2.825861	 -0.905478	 -0.056868
 -0.795891	 -2.892403	 -0.904109	 -0.045216
 -0.797261	 -2.927053	 -0.902739	 -0.040310
 -0.798631	 -2.989916	 -0.901369	 -0.050122
 -0.800001	 -3.021500	 -0.899999	 -0.061775
 -0.801371	 -3.083135	 -0.898629	 -0.047669
 -0.802741	 -3.146917	 -0.897259	 -0.043376
 -0.804111	 -3.200580	 -0.895889	 -0.043376
 -0.805481	 -3.245043	 -0.894519	 -0.058402
 -0.806850	 -3.299319	 -0.893150	 -0.025591
 -0.808220	 -3.366781	 -0.891780	 -0.013325
 -0.809590	 -3.403578	 -0.890410	 -0.035403
 -0.810960	 -3.464293	 -0.889040	 -0.040923
 -0.812330	 -3.505690	 -0.887670	 -0.047976
 -0.813700	 -3.574992	 -0.886300	 -0.032337
 -0.815070	 -3.613322	 -0.884930	 -0.050736
 -0.816439	 -3.670971	 -0.883561	 -0.038163
 -0.817809	 -3.707155	 -0.882191	 -0.050736
 -0.819179	 -3.790562	 -0.880821	 -0.060548
 -0.820549	 -3.830733	 -0.879451	 -0.070974
 -0.821919	 -3.878876	 -0.878081	 -0.069134
 -0.823289	 -3.898501	 -0.876711	 -0.019458
 -0.824659	 -3.950937	 -0.875341	 -0.067908
 -0.826028	 -4.032504	 -0.873972	 -0.048282
 -0.827398	 -4.083714	 -0.872602	 -0.054415
 -0.828768	 -4.142589	 -0.871232	 -0.034483
 -0.830138	 -4.185826	 -0.869862	 -0.069134
 -0.831508	 -4.254514	 -0.868492	 -0.064228
 -0.832878	 -4.287632	 -0.867122	 -0.090293
 -0.834248	 -4.333015	 -0.865752	 -0.065761
 -0.835618	 -4.393731	 -0.864383	 -0.066374
 -0.836987	 -4.441567	 -0.863013	 -0.049816
 -0.838357	 -4.504122	 -0.861643	 -0.032644
 -0.839727	 -4.543679	 -0.860273	 -0.073121
 -0.841097	 -4.612061	 -0.858903	 -0.051349
 -0.842467	 -4.646405	 -0.857533	 -0.074040
 -0.843837	 -4.700681	 -0.856163	 -0.066068
 -0.845207	 -4.749437	 -0.854793	 -0.084160
 -0.846576	 -4.803713	 -0.853424	 -0.072814
 -0.847946	 -4.856149	 -0.852054	 -0.069747
 -0.849316	 -4.904599	 -0.850684	 -0.055642
 -0.850686	 -4.958568	 -0.849314	 -0.082013
 -0.852056	 -5.001192	 -0.847944	 -0.075267
 -0.853426	 -5.066200	 -0.846574	 -0.054109
 -0.854796	 -5.099011	 -0.845204	 -0.061775
 -0.856165	 -5.158194	 -0.843834	 -0.068214
 -0.857535	 -5.201124	 -0.842465	 -0.089066
 -0.858905	 -5.263986	 -0.841095	 -0.067908
 -0.860275	 -5.302623	 -0.839725	 -0.063308
 -0.861645	 -5.363952	 -0.838355	 -0.063001
 -0.863015	 -5.407802	 -0.836985	 -0.062388
 -0.864385	 -5.461158	 -0.835615	 -0.089373
 -0.865754	 -5.505928	 -0.834245	 -0.072201
 -0.867124	 -5.557750	 -0.832876	 -0.074960
 -0.868494	 -5.619692	 -0.831506	 -0.055642
 -0.869864	 -5.657716	 -0.830136	 -0.092132
 -0.871234	 -5.712912	 -0.828766	 -0.059935
 -0.872604	 -5.749096	 -0.827396	 -0.076187
 -0.873974	 -5.817171	 -0.826026	 -0.071587
 -0.875344	 -5.868381	 -0.824656	 -0.075880
 -0.876713	 -5.914684	 -0.823287	 -0.107158
 -0.878083	 -5.952707	 -0.821917	 -0.098572
 -0.879453	 -6.005450	 -0.820547	 -0.117584
 -0.880823	 -6.077818	 -0.819177	 -0.086920
 -0.882193	 -6.109709	 -0.817807	 -0.100718
 -0.883563	 -6.164291	 -0.816437	 -0.109918
 -0.884933	 -6.197716	 -0.815067	 -0.104092
 -0.886302	 -6.271004	 -0.813698	 -0.084466
 -0.887672	 -6.311174	 -0.812328	 -0.139049
 -0.889042	 -6.360850	 -0.810958	 -0.119424
 -0.890412	 -6.409300	 -0.809588	 -0.121877
 -0.891782	 -6.464189	 -0.808218	 -0.092439
 -0.893152	 -6.517239	 -0.806848	 -0.090599
 -0.894522	 -6.558329	 -0.805478	 -0.155608
 -0.895891	 -6.615671	 -0.804109	 -0.101025
 -0.897261	 -6.655841	 -0.802739	 -0.109305
 -0.898631	 -6.713184	 -0.801369	 -0.082320
 -0.900001	 -6.747528	 -0.799999	 -0.118810
 -0.901371	 -6.802724	 -0.798629	 -0.095506
 -0.902741	 -6.846880	 -0.797259	 -0.118810
 -0.904111	 -6.901156	 -0.795889	 -0.097345
 -0.905480	 -6.944087	 -0.794519	 -0.113291
 -0.906850	 -6.994376	 -0.793150	 -0.117584
 -0.908220	 -7.043132	 -0.791780	 -0.099799
 -0.909590	 -7.103541	 -0.790410	 -0.148862
 -0.910960	 -7.145245	 -0.789040	 -0.106545
 -0.912330	 -7.182655	 -0.787670	 -0.126783
 -0.913700	 -7.249810	 -0.786300	 -0.079560
 -0.915070	 -7.285688	 -0.784930	 -0.107158
 -0.916439	 -7.339657	 -0.783561	 -0.094892
 -0.917809	 -7.377681	 -0.782191	 -0.113291
 -0.919179	 -7.445449	 -0.780821	 -0.123410
 -0.920549	 -7.485006	 -0.779451	 -0.105931
 -0.921919	 -7.535295	 -0.778081	 -0.098572
 -0.923289	 -7.580986	 -0.776711	 -0.087533
 -0.924659	 -7.629742	 -0.775341	 -0.137209
 -0.926028	 -7.681565	 -0.773971	 -0.078334
 -0.927398	 -7.715295	 -0.772602	 -0.105625
 -0.928768	 -7.778464	 -0.771232	 -0.077107
 -0.930138	 -7.818635	 -0.769862	 -0.089066
 -0.931508	 -7.875670	 -0.768492	 -0.081400
 -0.932878	 -7.906028	 -0.767122	 -0.081093
 -0.934248	 -7.963984	 -0.765752	 -0.074040
 -0.935618	 -8.010900	 -0.764382	 -0.070361
 -0.936987	 -8.048004	 -0.763013	 -0.056562
 -0.938357	 -8.094920	 -0.761643	 -0.072507
 -0.939727	 -8.132331	 -0.760273	 -0.103478
 -0.941097	 -8.192126	 -0.758903	 -0.048282
 -0.942467	 -8.229231	 -0.757533	 -0.047669
