[Point Spectroscopy Data]
Approach Rate=0.0700 µm/sec
Retreat Rate=0.0700 µm/sec
Z Start=-1.6500 µm
Z End=-1.1500 µm
Cycle Hold Time=0.000 sec
½ Cycle Hold Time=0.000 sec
Z Piezo Linerizer On=no

[Series layout]
Points Number=512
Series Number=1
Trace Z Position, µm	Deflection Signal, V	Retrace Z Position, µm	Deflection Signal, V

[Data]
 -1.650000	  9.342759	 -1.150000	 10.044646
 -1.649021	  9.370356	 -1.150979	 10.044646
 -1.648042	  9.415738	 -1.151958	 10.044646
 -1.647064	  9.431683	 -1.152936	 10.044646
 -1.646085	  9.468479	 -1.153915	 10.044646
 -1.645107	  9.496077	 -1.154893	 10.044646
 -1.644128	  9.531646	 -1.155872	 10.044646
 -1.643150	  9.566603	 -1.156850	 10.044646
 -1.642172	  9.604012	 -1.157828	 10.044646
 -1.641193	  9.627316	 -1.158807	 10.044646
 -1.640215	  9.658593	 -1.159785	 10.044646
 -1.639236	  9.688029	 -1.160764	 10.044646
 -1.638258	  9.725439	 -1.161742	 10.044646
 -1.637279	  9.757942	 -1.162721	 10.044646
 -1.636301	  9.796578	 -1.163699	 10.044646
 -1.635322	  9.818043	 -1.164678	 10.044646
 -1.634344	  9.857905	 -1.165656	 10.044646
 -1.633365	  9.875077	 -1.166635	 10.044646
 -1.632387	  9.918006	 -1.167613	 10.044646
 -1.631408	  9.951735	 -1.168592	 10.044646
 -1.630430	  9.976267	 -1.169570	 10.044646
 -1.629451	 10.002637	 -1.170549	 10.044646
 -1.628473	 10.035753	 -1.171527	 10.044646
 -1.627494	 10.044646	 -1.172505	 10.044646
 -1.626516	 10.044646	 -1.173484	 10.044646
 -1.625537	 10.044646	 -1.174462	 10.044646
 -1.624559	 10.044646	 -1.175441	 10.044646
 -1.623581	 10.044646	 -1.176419	 10.044646
 -1.622602	 10.044646	 -1.177398	 10.044646
 -1.621624	 10.044646	 -1.178376	 10.044646
 -1.620645	 10.044646	 -1.179355	 10.044646
 -1.619667	 10.044646	 -1.180333	 10.044646
 -1.618688	 10.044646	 -1.181312	 10.044646
 -1.617710	 10.044646	 -1.182290	 10.044646
 -1.616731	 10.044646	 -1.183269	 10.044646
 -1.615753	 10.044646	 -1.184247	 10.044646
 -1.614774	 10.044646	 -1.185226	 10.044646
 -1.613796	 10.044646	 -1.186204	 10.044646
 -1.612817	 10.044646	 -1.187183	 10.044646
 -1.611839	 10.044646	 -1.188161	 10.044646
 -1.610860	 10.044646	 -1.189140	 10.044646
 -1.609882	 10.044646	 -1.190118	 10.044646
 -1.608903	 10.044646	 -1.191097	 10.044646
 -1.607925	 10.044646	 -1.192075	 10.044646
 -1.606946	 10.044646	 -1.193053	 10.044646
 -1.605968	 10.044646	 -1.194032	 10.044646
 -1.604990	 10.044646	 -1.195011	 10.044646
 -1.604011	 10.044646	 -1.195989	 10.044646
 -1.603032	 10.044646	 -1.196967	 10.044646
 -1.602054	 10.044646	 -1.197946	 10.044646
 -1.601076	 10.044646	 -1.198924	 10.044646
 -1.600097	 10.044646	 -1.199903	 10.044646
 -1.599119	 10.044646	 -1.200881	 10.044646
 -1.598140	 10.044646	 -1.201860	 10.044646
 -1.597162	 10.044646	 -1.202838	 10.044646
 -1.596183	 10.044646	 -1.203817	 10.044646
 -1.595205	 10.044646	 -1.204795	 10.044646
 -1.594226	 10.044646	 -1.205774	 10.044646
 -1.593248	 10.044646	 -1.206752	 10.044646
 -1.592269	 10.044646	 -1.207731	 10.044646
 -1.591291	 10.044646	 -1.208709	 10.044646
 -1.590312	 10.044646	 -1.209688	 10.044646
 -1.589334	 10.044646	 -1.210666	 10.044646
 -1.588355	 10.044646	 -1.211645	 10.044646
 -1.587377	 10.044646	 -1.212623	 10.044646
 -1.586398	 10.044646	 -1.213601	 10.044646
 -1.585420	 10.044646	 -1.214580	 10.044646
 -1.584442	 10.044646	 -1.215558	 10.044646
 -1.583463	 10.044646	 -1.216537	 10.044646
 -1.582485	 10.044646	 -1.217515	 10.044646
 -1.581506	 10.044646	 -1.218494	 10.044646
 -1.580528	 10.044646	 -1.219472	 10.044646
 -1.579549	 10.044646	 -1.220451	 10.044646
 -1.578571	 10.044646	 -1.221429	 10.044646
 -1.577592	 10.044646	 -1.222408	 10.044646
 -1.576614	 10.044646	 -1.223386	 10.044646
 -1.575635	 10.044646	 -1.224365	 10.044646
 -1.574657	 10.044646	 -1.225343	 10.044646
 -1.573678	 10.044646	 -1.226322	 10.044646
 -1.572700	 10.044646	 -1.227300	 10.044646
 -1.571721	 10.044646	 -1.228279	 10.044646
 -1.570743	 10.044646	 -1.229257	 10.044646
 -1.569764	 10.044646	 -1.230236	 10.044646
 -1.568786	 10.044646	 -1.231214	 10.044646
 -1.567807	 10.044646	 -1.232192	 10.044646
 -1.566829	 10.044646	 -1.233171	 10.044646
 -1.565851	 10.044646	 -1.234149	 10.044646
 -1.564872	 10.044646	 -1.235128	 10.044646
 -1.563894	 10.044646	 -1.236106	 10.044646
 -1.562915	 10.044646	 -1.237085	 10.044646
 -1.561937	 10.044646	 -1.238063	 10.044646
 -1.560958	 10.044646	 -1.239042	 10.044646
 -1.559980	 10.044646	 -1.240020	 10.044646
 -1.559001	 10.044646	 -1.240999	 10.044646
 -1.558023	 10.044646	 -1.241977	 10.044646
 -1.557044	 10.044646	 -1.242956	 10.044646
 -1.556066	 10.044646	 -1.243934	 10.044646
 -1.555087	 10.044646	 -1.244913	 10.044646
 -1.554109	 10.044646	 -1.245891	 10.044646
 -1.553130	 10.044646	 -1.246869	 10.044646
 -1.552152	 10.044646	 -1.247848	 10.044646
 -1.551173	 10.044646	 -1.248827	 10.044646
 -1.550195	 10.044646	 -1.249805	 10.044646
 -1.549217	 10.044646	 -1.250783	 10.044646
 -1.548238	 10.044646	 -1.251762	 10.044646
 -1.547260	 10.044646	 -1.252741	 10.044646
 -1.546281	 10.044646	 -1.253719	 10.044646
 -1.545303	 10.044646	 -1.254697	 10.044646
 -1.544324	 10.044646	 -1.255676	 10.044646
 -1.543346	 10.044646	 -1.256654	 10.044646
 -1.542367	 10.044646	 -1.257633	 10.044646
 -1.541389	 10.044646	 -1.258611	 10.044646
 -1.540410	 10.044646	 -1.259590	 10.044646
 -1.539432	 10.044646	 -1.260568	 10.044646
 -1.538453	 10.044646	 -1.261547	 10.044646
 -1.537475	 10.044646	 -1.262525	 10.044646
 -1.536496	 10.044646	 -1.263504	 10.044646
 -1.535518	 10.044646	 -1.264482	 10.044646
 -1.534539	 10.044646	 -1.265461	 10.044646
 -1.533561	 10.044646	 -1.266439	 10.044646
 -1.532582	 10.044646	 -1.267417	 10.044646
 -1.531604	 10.044646	 -1.268396	 10.044646
 -1.530625	 10.044646	 -1.269374	 10.044646
 -1.529647	 10.044646	 -1.270353	 10.044646
 -1.528669	 10.044646	 -1.271331	 10.044646
 -1.527690	 10.044646	 -1.272310	 10.044646
 -1.526712	 10.044646	 -1.273288	 10.044646
 -1.525733	 10.044646	 -1.274267	 10.044646
 -1.524755	 10.044646	 -1.275245	 10.044646
 -1.523776	 10.044646	 -1.276224	 10.044646
 -1.522798	 10.044646	 -1.277202	 10.044646
 -1.521819	 10.044646	 -1.278181	 10.044646
 -1.520841	 10.044646	 -1.279159	 10.044646
 -1.519862	 10.044646	 -1.280138	 10.044646
 -1.518884	 10.044646	 -1.281116	 10.044646
 -1.517905	 10.044646	 -1.282095	 10.044646
 -1.516927	 10.044646	 -1.283073	 10.044646
 -1.515948	 10.044646	 -1.284052	 10.044646
 -1.514970	 10.044646	 -1.285030	 10.044646
 -1.513991	 10.044646	 -1.286009	 10.044646
 -1.513013	 10.044646	 -1.286987	 10.044646
 -1.512034	 10.044646	 -1.287965	 10.044646
 -1.511056	 10.044646	 -1.288944	 10.044646
 -1.510078	 10.044646	 -1.289922	 10.044646
 -1.509099	 10.044646	 -1.290901	 10.044646
 -1.508121	 10.044646	 -1.291879	 10.044646
 -1.507142	 10.044646	 -1.292858	 10.044646
 -1.506164	 10.044646	 -1.293836	 10.044646
 -1.505185	 10.044646	 -1.294815	 10.044646
 -1.504207	 10.044646	 -1.295793	 10.044646
 -1.503228	 10.044646	 -1.296772	 10.044646
 -1.502250	 10.044646	 -1.297750	 10.044646
 -1.501271	 10.044646	 -1.298729	 10.044646
 -1.500293	 10.044646	 -1.299707	 10.044646
 -1.499314	 10.044646	 -1.300686	 10.044646
 -1.498336	 10.044646	 -1.301664	 10.044646
 -1.497357	 10.044646	 -1.302643	 10.044646
 -1.496379	 10.044646	 -1.303621	 10.044646
 -1.495401	 10.044646	 -1.304600	 10.044646
 -1.494422	 10.044646	 -1.305578	 10.044646
 -1.493443	 10.044646	 -1.306556	 10.044646
 -1.492465	 10.044646	 -1.307535	 10.044646
 -1.491487	 10.044646	 -1.308513	 10.044646
 -1.490508	 10.044646	 -1.309492	 10.044646
 -1.489530	 10.044646	 -1.310470	 10.044646
 -1.488551	 10.044646	 -1.311449	 10.044646
 -1.487573	 10.044646	 -1.312427	 10.044646
 -1.486594	 10.044646	 -1.313406	 10.044646
 -1.485616	 10.044646	 -1.314384	 10.044646
 -1.484637	 10.044646	 -1.315363	 10.044646
 -1.483659	 10.044646	 -1.316341	 10.044646
 -1.482680	 10.044646	 -1.317320	 10.044646
 -1.481702	 10.044646	 -1.318298	 10.044646
 -1.480723	 10.044646	 -1.319277	 10.044646
 -1.479745	 10.044646	 -1.320255	 10.044646
 -1.478766	 10.044646	 -1.321234	 10.044646
 -1.477788	 10.044646	 -1.322212	 10.044646
 -1.476810	 10.044646	 -1.323191	 10.044646
 -1.475831	 10.044646	 -1.324169	 10.044646
 -1.474852	 10.044646	 -1.325147	 10.044646
 -1.473874	 10.044646	 -1.326126	 10.044646
 -1.472896	 10.044646	 -1.327104	 10.044646
 -1.471917	 10.044646	 -1.328083	 10.044646
 -1.470939	 10.044646	 -1.329061	 10.044646
 -1.469960	 10.044646	 -1.330040	 10.044646
 -1.468982	 10.044646	 -1.331018	 10.044646
 -1.468003	 10.044646	 -1.331997	 10.044646
 -1.467025	 10.044646	 -1.332975	 10.044646
 -1.466046	 10.044646	 -1.333954	 10.044646
 -1.465068	 10.044646	 -1.334932	 10.044646
 -1.464089	 10.044646	 -1.335911	 10.044646
 -1.463111	 10.044646	 -1.336889	 10.044646
 -1.462132	 10.044646	 -1.337868	 10.044646
 -1.461154	 10.044646	 -1.338846	 10.044646
 -1.460175	 10.044646	 -1.339825	 10.044646
 -1.459197	 10.044646	 -1.340803	 10.044646
 -1.458218	 10.044646	 -1.341782	 10.044646
 -1.457240	 10.044646	 -1.342760	 10.044646
 -1.456261	 10.044646	 -1.343738	 10.044646
 -1.455283	 10.044646	 -1.344717	 10.044646
 -1.454304	 10.044646	 -1.345695	 10.044646
 -1.453326	 10.044646	 -1.346674	 10.044646
 -1.452348	 10.044646	 -1.347652	 10.044646
 -1.451369	 10.044646	 -1.348631	 10.044646
 -1.450391	 10.044646	 -1.349609	 10.044646
 -1.449412	 10.044646	 -1.350588	 10.044646
 -1.448434	 10.044646	 -1.351566	 10.044646
 -1.447455	 10.044646	 -1.352545	 10.044646
 -1.446477	 10.044646	 -1.353523	 10.044646
 -1.445498	 10.044646	 -1.354502	 10.044646
 -1.444520	 10.044646	 -1.355480	 10.044646
 -1.443541	 10.044646	 -1.356459	 10.044646
 -1.442563	 10.044646	 -1.357437	 10.044646
 -1.441585	 10.044646	 -1.358416	 10.044646
 -1.440606	 10.044646	 -1.359394	 10.044646
 -1.439627	 10.044646	 -1.360372	 10.044646
 -1.438649	 10.044646	 -1.361351	 10.044646
 -1.437671	 10.044646	 -1.362329	 10.044646
 -1.436692	 10.044646	 -1.363308	 10.044646
 -1.435713	 10.044646	 -1.364286	 10.044646
 -1.434735	 10.044646	 -1.365265	 10.044646
 -1.433757	 10.044646	 -1.366243	 10.044646
 -1.432778	 10.044646	 -1.367222	 10.044646
 -1.431800	 10.044646	 -1.368200	 10.044646
 -1.430821	 10.044646	 -1.369179	 10.044646
 -1.429843	 10.044646	 -1.370157	 10.044646
 -1.428864	 10.044646	 -1.371136	 10.044646
 -1.427886	 10.044646	 -1.372114	 10.044646
 -1.426907	 10.044646	 -1.373093	 10.044646
 -1.425929	 10.044646	 -1.374071	 10.044646
 -1.424950	 10.044646	 -1.375049	 10.044646
 -1.423972	 10.044646	 -1.376028	 10.044646
 -1.422993	 10.044646	 -1.377007	 10.044646
 -1.422015	 10.044646	 -1.377985	 10.044646
 -1.421036	 10.044646	 -1.378963	 10.044646
 -1.420058	 10.044646	 -1.379942	 10.044646
 -1.419080	 10.044646	 -1.380920	 10.044646
 -1.418101	 10.044646	 -1.381899	 10.044646
 -1.417122	 10.044646	 -1.382877	 10.044646
 -1.416144	 10.044646	 -1.383856	 10.044646
 -1.415166	 10.044646	 -1.384834	 10.044646
 -1.414187	 10.044646	 -1.385813	 10.044646
 -1.413209	 10.044646	 -1.386791	 10.044646
 -1.412230	 10.044646	 -1.387770	 10.044646
 -1.411252	 10.044646	 -1.388748	 10.044646
 -1.410273	 10.044646	 -1.389727	 10.044646
 -1.409295	 10.044646	 -1.390705	 10.044646
 -1.408316	 10.044646	 -1.391684	 10.044646
 -1.407338	 10.044646	 -1.392662	 10.044646
 -1.406359	 10.044646	 -1.393641	 10.044646
 -1.405381	 10.044646	 -1.394619	 10.044646
 -1.404402	 10.044646	 -1.395598	 10.044646
 -1.403424	 10.044646	 -1.396576	 10.044646
 -1.402446	 10.044646	 -1.397555	 10.044646
 -1.401467	 10.044646	 -1.398533	 10.044646
 -1.400488	 10.044646	 -1.399511	 10.044646
 -1.399510	 10.044646	 -1.400490	 10.044646
 -1.398532	 10.044646	 -1.401468	 10.044646
 -1.397553	 10.044646	 -1.402447	 10.044646
 -1.396575	 10.044646	 -1.403425	 10.044646
 -1.395596	 10.044646	 -1.404404	 10.044646
 -1.394618	 10.044646	 -1.405382	 10.044646
 -1.393639	 10.044646	 -1.406361	 10.044646
 -1.392661	 10.044646	 -1.407339	 10.044646
 -1.391682	 10.044646	 -1.408318	 10.044646
 -1.390704	 10.044646	 -1.409296	 10.044646
 -1.389725	 10.044646	 -1.410275	 10.044646
 -1.388747	 10.044646	 -1.411253	 10.044646
 -1.387768	 10.044646	 -1.412232	 10.044646
 -1.386790	 10.044646	 -1.413210	 10.044646
 -1.385811	 10.044646	 -1.414189	 10.044646
 -1.384833	 10.044646	 -1.415167	 10.044646
 -1.383855	 10.044646	 -1.416146	 10.044646
 -1.382876	 10.044646	 -1.417124	 10.044646
 -1.381897	 10.044646	 -1.418103	 10.044646
 -1.380919	 10.044646	 -1.419081	 10.044646
 -1.379941	 10.044646	 -1.420059	 10.044646
 -1.378962	 10.044646	 -1.421038	 10.044646
 -1.377984	 10.044646	 -1.422016	 10.044646
 -1.377005	 10.044646	 -1.422995	 10.044646
 -1.376027	 10.044646	 -1.423973	 10.044646
 -1.375048	 10.044646	 -1.424952	 10.044646
 -1.374070	 10.044646	 -1.425930	 10.044646
 -1.373091	 10.044646	 -1.426909	 10.044646
 -1.372113	 10.044646	 -1.427887	 10.044646
 -1.371134	 10.044646	 -1.428866	 10.044646
 -1.370156	 10.044646	 -1.429844	 10.044646
 -1.369177	 10.044646	 -1.430823	 10.044646
 -1.368199	 10.044646	 -1.431801	 10.044646
 -1.367220	 10.044646	 -1.432779	 10.044646
 -1.366242	 10.044646	 -1.433758	 10.044646
 -1.365264	 10.044646	 -1.434737	 10.044646
 -1.364285	 10.044646	 -1.435715	 10.044646
 -1.363306	 10.044646	 -1.436693	 10.044646
 -1.362328	 10.044646	 -1.437672	 10.044646
 -1.361350	 10.044646	 -1.438650	 10.044646
 -1.360371	 10.044646	 -1.439629	 10.044646
 -1.359393	 10.044646	 -1.440607	 10.044646
 -1.358414	 10.044646	 -1.441586	 10.044646
 -1.357436	 10.044646	 -1.442564	 10.044646
 -1.356457	 10.044646	 -1.443543	 10.044646
 -1.355479	 10.044646	 -1.444521	 10.044646
 -1.354500	 10.044646	 -1.445500	 10.044646
 -1.353522	 10.044646	 -1.446478	 10.044646
 -1.352543	 10.044646	 -1.447457	 10.044646
 -1.351565	 10.044646	 -1.448435	 10.044646
 -1.350586	 10.044646	 -1.449414	 10.044646
 -1.349608	 10.044646	 -1.450392	 10.044646
 -1.348629	 10.044646	 -1.451370	 10.044646
 -1.347651	 10.044646	 -1.452349	 10.044646
 -1.346673	 10.044646	 -1.453327	 10.044646
 -1.345694	 10.044646	 -1.454306	 10.044646
 -1.344716	 10.044646	 -1.455284	 10.044646
 -1.343737	 10.044646	 -1.456263	 10.044646
 -1.342759	 10.044646	 -1.457241	 10.044646
 -1.341780	 10.044646	 -1.458220	 10.044646
 -1.340802	 10.044646	 -1.459198	 10.044646
 -1.339823	 10.044646	 -1.460177	 10.044646
 -1.338845	 10.044646	 -1.461155	 10.044646
 -1.337866	 10.044646	 -1.462134	 10.044646
 -1.336888	 10.044646	 -1.463112	 10.044646
 -1.335909	 10.044646	 -1.464091	 10.044646
 -1.334931	 10.044646	 -1.465069	 10.044646
 -1.333952	 10.044646	 -1.466048	 10.044646
 -1.332974	 10.044646	 -1.467026	 10.044646
 -1.331995	 10.044646	 -1.468005	 10.044646
 -1.331017	 10.044646	 -1.468983	 10.044646
 -1.330038	 10.044646	 -1.469962	 10.044646
 -1.329060	 10.044646	 -1.470940	 10.044646
 -1.328081	 10.044646	 -1.471918	 10.044646
 -1.327103	 10.044646	 -1.472897	 10.044646
 -1.326125	 10.044646	 -1.473876	 10.044646
 -1.325146	 10.044646	 -1.474854	 10.044646
 -1.324167	 10.044646	 -1.475832	 10.044646
 -1.323189	 10.044646	 -1.476811	 10.044646
 -1.322211	 10.044646	 -1.477789	 10.044646
 -1.321232	 10.044646	 -1.478768	 10.044646
 -1.320254	 10.044646	 -1.479746	 10.044646
 -1.319275	 10.044646	 -1.480725	 10.044646
 -1.318297	 10.044646	 -1.481703	 10.044646
