[Point Spectroscopy Data]
Approach Rate=0.1138 µm/sec
Retreat Rate=0.1138 µm/sec
Z Start=-3.0000 µm
Z End=-3.7500 µm
Cycle Hold Time=0.000 sec
½ Cycle Hold Time=0.000 sec
Z Piezo Linerizer On=no

[Series layout]
Points Number=512
Series Number=1
Trace Z Position, µm	Deflection Signal, V	Retrace Z Position, µm	Deflection Signal, V

[Data]
 -3.000000	 10.044895	 -3.750000	  5.268919
 -3.001469	 10.044895	 -3.748531	  5.255121
 -3.002937	 10.044895	 -3.747063	  5.304797
 -3.004404	 10.044895	 -3.745595	  5.286705
 -3.005872	 10.044895	 -3.744128	  5.318902
 -3.007339	 10.044895	 -3.742660	  5.326569
 -3.008807	 10.044895	 -3.741192	  5.336381
 -3.010275	 10.044895	 -3.739725	  5.359073
 -3.011743	 10.044895	 -3.738257	  5.380538
 -3.013211	 10.044895	 -3.736789	  5.408136
 -3.014678	 10.044895	 -3.735322	  5.388511
 -3.016146	 10.044895	 -3.733854	  5.442480
 -3.017614	 10.044895	 -3.732386	  5.435734
 -3.019081	 10.044895	 -3.730918	  5.441866
 -3.020549	 10.044895	 -3.729451	  5.448613
 -3.022017	 10.044895	 -3.727983	  5.482957
 -3.023484	 10.044895	 -3.726515	  5.473757
 -3.024952	 10.044895	 -3.725048	  5.498289
 -3.026420	 10.044895	 -3.723580	  5.487250
 -3.027888	 10.044895	 -3.722112	  5.501969
 -3.029355	 10.044895	 -3.720644	  5.531100
 -3.030823	 10.044895	 -3.719177	  5.508715
 -3.032291	 10.044895	 -3.717709	  5.530793
 -3.033758	 10.044895	 -3.716241	  5.490930
 -3.035226	 10.044895	 -3.714774	  5.535699
 -3.036694	 10.044895	 -3.713306	  5.505649
 -3.038162	 10.044895	 -3.711838	  5.528954
 -3.039629	 10.044895	 -3.710371	  5.562071
 -3.041097	 10.044895	 -3.708903	  5.538153
 -3.042565	 10.044895	 -3.707435	  5.554098
 -3.044032	 10.044895	 -3.705967	  5.518528
 -3.045500	 10.044895	 -3.704499	  5.556551
 -3.046968	 10.044895	 -3.703032	  5.544899
 -3.048435	 10.044895	 -3.701564	  5.544286
 -3.049903	 10.044895	 -3.700096	  5.547965
 -3.051371	 10.044895	 -3.698629	  5.567284
 -3.052839	 10.044895	 -3.697161	  5.555325
 -3.054307	 10.044895	 -3.695693	  5.538766
 -3.055774	 10.044895	 -3.694226	  5.583230
 -3.057242	 10.044895	 -3.692758	  5.544899
 -3.058709	 10.044895	 -3.691290	  5.578016
 -3.060177	 10.044895	 -3.689822	  5.539379
 -3.061645	 10.044895	 -3.688355	  5.561764
 -3.063112	 10.044895	 -3.686887	  5.563911
 -3.064580	 10.044895	 -3.685419	  5.566977
 -3.066048	 10.044895	 -3.683952	  5.543059
 -3.067516	 10.044895	 -3.682484	  5.566977
 -3.068984	 10.044895	 -3.681016	  5.562071
 -3.070451	 10.044895	 -3.679549	  5.519754
 -3.071918	 10.044895	 -3.678081	  5.576790
 -3.073386	 10.044895	 -3.676613	  5.546125
 -3.074854	 10.044895	 -3.675145	  5.565137
 -3.076322	 10.044895	 -3.673678	  5.547965
 -3.077790	 10.044895	 -3.672210	  5.580163
 -3.079257	 10.044895	 -3.670743	  5.568817
 -3.080725	 10.044895	 -3.669275	  5.565137
 -3.082193	 10.044895	 -3.667807	  5.582616
 -3.083661	 10.044895	 -3.666339	  5.575563
 -3.085128	 10.044895	 -3.664871	  5.579550
 -3.086596	 10.044895	 -3.663404	  5.577403
 -3.088064	 10.044895	 -3.661936	  5.587216
 -3.089531	 10.044895	 -3.660468	  5.563911
 -3.090999	 10.044895	 -3.659001	  5.602548
 -3.092467	 10.044895	 -3.657533	  5.536926
 -3.093934	 10.044895	 -3.656065	  5.570657
 -3.095402	 10.044895	 -3.654597	  5.564218
 -3.096870	 10.044895	 -3.653130	  5.566977
 -3.098337	 10.044895	 -3.651662	  5.561151
 -3.099805	 10.044895	 -3.650194	  5.562684
 -3.101273	 10.044895	 -3.648727	  5.575563
 -3.102741	 10.044895	 -3.647259	  5.540606
 -3.104208	 10.044895	 -3.645791	  5.604388
 -3.105676	 10.044895	 -3.644324	  5.562991
 -3.107144	 10.044895	 -3.642856	  5.584763
 -3.108611	 10.044895	 -3.641388	  5.551645
 -3.110079	 10.044895	 -3.639920	  5.584763
 -3.111547	 10.044895	 -3.638453	  5.576790
 -3.113015	 10.044895	 -3.636985	  5.559618
 -3.114483	 10.044895	 -3.635517	  5.585989
 -3.115950	 10.044895	 -3.634049	  5.589362
 -3.117418	 10.044895	 -3.632582	  5.584149
 -3.118886	 10.044895	 -3.631114	  5.554098
 -3.120353	 10.044895	 -3.629646	  5.579856
 -3.121821	 10.044895	 -3.628179	  5.554098
 -3.123289	 10.044895	 -3.626711	  5.585376
 -3.124756	 10.044895	 -3.625243	  5.559004
 -3.126224	 10.044895	 -3.623775	  5.574030
 -3.127692	 10.044895	 -3.622308	  5.578016
 -3.129159	 10.044895	 -3.620840	  5.592735
 -3.130627	 10.044895	 -3.619372	  5.579243
 -3.132095	 10.044895	 -3.617905	  5.572497
 -3.133563	 10.044895	 -3.616437	  5.588749
 -3.135030	 10.044895	 -3.614969	  5.554405
 -3.136498	 10.044895	 -3.613502	  5.585376
 -3.137966	 10.044895	 -3.612034	  5.566977
 -3.139433	 10.044895	 -3.610566	  5.585376
 -3.140901	 10.044895	 -3.609099	  5.561458
 -3.142369	 10.044895	 -3.607631	  5.598868
 -3.143837	 10.044895	 -3.606163	  5.576177
 -3.145304	 10.044895	 -3.604695	  5.553178
 -3.146772	 10.044895	 -3.603227	  5.572497
 -3.148240	 10.044895	 -3.601760	  5.576790
 -3.149708	 10.044895	 -3.600292	  5.585989
 -3.151175	 10.044895	 -3.598825	  5.565444
 -3.152643	 10.044895	 -3.597357	  5.592122
 -3.154111	 10.044895	 -3.595889	  5.578016
 -3.155578	 10.044895	 -3.594421	  5.574337
 -3.157046	 10.044895	 -3.592953	  5.556551
 -3.158514	 10.044895	 -3.591486	  5.555325
 -3.159981	 10.044895	 -3.590018	  5.576177
 -3.161449	 10.044895	 -3.588550	  5.577403
 -3.162917	 10.044895	 -3.587083	  5.627693
 -3.164385	 10.044895	 -3.585615	  5.590895
 -3.165852	 10.044895	 -3.584147	  5.615427
 -3.167320	 10.044895	 -3.582680	  5.552872
 -3.168788	 10.044895	 -3.581212	  5.587829
 -3.170255	 10.044895	 -3.579744	  5.556551
 -3.171723	 10.044895	 -3.578277	  5.579856
 -3.173191	 10.044895	 -3.576809	  5.546125
 -3.174658	 10.044895	 -3.575341	  5.566364
 -3.176126	 10.044895	 -3.573873	  5.583536
 -3.177594	 10.044895	 -3.572406	  5.579243
 -3.179062	 10.044895	 -3.570938	  5.598868
 -3.180530	 10.044895	 -3.569470	  5.570350
 -3.181997	 10.044895	 -3.568002	  5.592122
 -3.183465	 10.044895	 -3.566535	  5.579856
 -3.184933	 10.044895	 -3.565067	  5.573723
 -3.186400	 10.044895	 -3.563599	  5.587523
 -3.187868	 10.044895	 -3.562132	  5.589669
 -3.189336	 10.044895	 -3.560664	  5.593962
 -3.190803	 10.044895	 -3.559196	  5.576790
 -3.192271	 10.044895	 -3.557729	  5.590895
 -3.193739	 10.044895	 -3.556261	  5.593655
 -3.195207	 10.044895	 -3.554793	  5.627999
 -3.196674	 10.044895	 -3.553325	  5.585376
 -3.198142	 10.044895	 -3.551858	  5.628306
 -3.199610	 10.044895	 -3.550390	  5.573110
 -3.201077	 10.044895	 -3.548922	  5.600095
 -3.202545	 10.044895	 -3.547455	  5.580470
 -3.204013	 10.044895	 -3.545987	  5.582922
 -3.205480	 10.044895	 -3.544519	  5.573723
 -3.206949	 10.044895	 -3.543051	  5.441866
 -3.208416	 10.044895	 -3.541584	  5.457199
 -3.209883	 10.044895	 -3.540116	  5.494609
 -3.211351	 10.044895	 -3.538648	  5.571884
 -3.212819	 10.044895	 -3.537180	  5.600708
 -3.214287	 10.044895	 -3.535713	  5.681662
 -3.215755	 10.044895	 -3.534245	  5.722139
 -3.217222	 10.044895	 -3.532778	  5.796347
 -3.218690	 10.044895	 -3.531310	  5.838050
 -3.220158	 10.044895	 -3.529842	  5.886500
 -3.221625	 10.044895	 -3.528374	  5.955188
 -3.223093	 10.044895	 -3.526906	  6.003638
 -3.224560	 10.044895	 -3.525439	  6.086432
 -3.226028	 10.044895	 -3.523971	  6.123229
 -3.227496	 10.044895	 -3.522503	  6.201117
 -3.228964	 10.044895	 -3.521036	  6.238527
 -3.230432	 10.044895	 -3.519568	  6.313962
 -3.231899	 10.044895	 -3.518101	  6.361185
 -3.233367	 10.044895	 -3.516633	  6.429873
 -3.234835	 10.044895	 -3.515165	  6.487522
 -3.236302	 10.044895	 -3.513697	  6.547624
 -3.237770	 10.044895	 -3.512229	  6.616925
 -3.239238	 10.044895	 -3.510762	  6.657402
 -3.240705	 10.044895	 -3.509294	  6.746942
 -3.242173	 10.044895	 -3.507826	  6.783740
 -3.243641	 10.044895	 -3.506359	  6.864694
 -3.245109	 10.044895	 -3.504891	  6.908850
 -3.246576	 10.044895	 -3.503423	  6.968339
 -3.248044	 10.044895	 -3.501956	  7.023535
 -3.249512	 10.044895	 -3.500488	  7.088543
 -3.250979	 10.044895	 -3.499020	  7.153552
 -3.252447	 10.044895	 -3.497553	  7.196789
 -3.253915	 10.044895	 -3.496085	  7.274983
 -3.255383	 10.044895	 -3.494617	  7.323432
 -3.256850	 10.044895	 -3.493149	  7.412359
 -3.258318	 10.044895	 -3.491682	  7.446090
 -3.259786	 10.044895	 -3.490214	  7.524590
 -3.261253	 10.044895	 -3.488746	  7.557402
 -3.262721	 10.044895	 -3.487278	  7.639889
 -3.264189	 10.044895	 -3.485811	  7.693245
 -3.265656	 10.044895	 -3.484343	  7.759480
 -3.267124	 10.044895	 -3.482876	  7.837981
 -3.268592	 10.044895	 -3.481408	  7.878458
 -3.270060	 10.044895	 -3.479940	  7.971677
 -3.271527	 10.044895	 -3.478472	  8.014607
 -3.272995	 10.044895	 -3.477005	  8.111506
 -3.274463	 10.044895	 -3.475537	  8.131132
 -3.275931	 10.044895	 -3.474069	  8.223125
 -3.277398	 10.044895	 -3.472601	  8.266055
 -3.278866	 10.044895	 -3.471134	  8.338423
 -3.280334	 10.044895	 -3.469666	  8.404045
 -3.281801	 10.044895	 -3.468198	  8.457094
 -3.283269	 10.044895	 -3.466731	  8.533448
 -3.284737	 10.044895	 -3.465263	  8.581285
 -3.286205	 10.044895	 -3.463795	  8.667759
 -3.287672	 10.044895	 -3.462327	  8.707623
 -3.289140	 10.044895	 -3.460860	  8.801455
 -3.290607	 10.044895	 -3.459392	  8.829666
 -3.292075	 10.044895	 -3.457924	  8.906327
 -3.293543	 10.044895	 -3.456457	  8.969496
 -3.295011	 10.044895	 -3.454989	  9.038184
 -3.296479	 10.044895	 -3.453521	  9.106259
 -3.297946	 10.044895	 -3.452054	  9.159001
 -3.299414	 10.044895	 -3.450586	  9.249768
 -3.300882	 10.044895	 -3.449118	  9.293312
 -3.302349	 10.044895	 -3.447650	  9.384078
 -3.303817	 10.044895	 -3.446183	  9.427009
 -3.305285	 10.044895	 -3.444715	  9.520842
 -3.306753	 10.044895	 -3.443247	  9.564384
 -3.308220	 10.044895	 -3.441780	  9.642579
 -3.309688	 10.044895	 -3.440312	  9.701761
 -3.311156	 10.044895	 -3.438844	  9.758797
 -3.312623	 10.044895	 -3.437376	  9.834845
 -3.314091	 10.044895	 -3.435909	  9.889427
 -3.315559	 10.044895	 -3.434441	  9.983260
 -3.317026	 10.044895	 -3.432973	 10.019444
 -3.318494	 10.044895	 -3.431505	 10.044895
 -3.319962	 10.044895	 -3.430038	 10.044895
 -3.321429	 10.044895	 -3.428570	 10.044895
 -3.322897	 10.044895	 -3.427102	 10.044895
 -3.324365	 10.044895	 -3.425635	 10.044895
 -3.325833	 10.044895	 -3.424167	 10.044895
 -3.327300	 10.044895	 -3.422699	 10.044895
 -3.328768	 10.044895	 -3.421232	 10.044895
 -3.330236	 10.044895	 -3.419764	 10.044895
 -3.331703	 10.044895	 -3.418296	 10.044895
 -3.333171	 10.044895	 -3.416829	 10.044895
 -3.334639	 10.044895	 -3.415361	 10.044895
 -3.336107	 10.044895	 -3.413893	 10.044895
 -3.337575	 10.044895	 -3.412425	 10.044895
 -3.339042	 10.044895	 -3.410958	 10.044895
 -3.340510	 10.044895	 -3.409490	 10.044895
 -3.341978	 10.044895	 -3.408022	 10.044895
 -3.343445	 10.044895	 -3.406554	 10.044895
 -3.344913	 10.044895	 -3.405087	 10.044895
 -3.346381	 10.044895	 -3.403619	 10.044895
 -3.347848	 10.044895	 -3.402151	 10.044895
 -3.349316	 10.044895	 -3.400683	 10.044895
 -3.350784	 10.044895	 -3.399216	 10.044895
 -3.352251	 10.044895	 -3.397748	 10.044895
 -3.353719	 10.044895	 -3.396280	 10.044895
 -3.355187	 10.044895	 -3.394813	 10.044895
 -3.356655	 10.044895	 -3.393345	 10.044895
 -3.358122	 10.044895	 -3.391877	 10.044895
 -3.359590	 10.044895	 -3.390410	 10.044895
 -3.361058	 10.044895	 -3.388942	 10.044895
 -3.362525	 10.044895	 -3.387474	 10.044895
 -3.363993	 10.044895	 -3.386007	 10.044895
 -3.365461	 10.044895	 -3.384539	 10.044895
 -3.366928	 10.044895	 -3.383071	 10.044895
 -3.368396	 10.044895	 -3.381603	 10.044895
 -3.369864	 10.044895	 -3.380136	 10.044895
 -3.371332	 10.044895	 -3.378668	 10.044895
 -3.372800	 10.044895	 -3.377200	 10.044895
 -3.374267	 10.044895	 -3.375733	 10.044895
 -3.375735	 10.044895	 -3.374264	 10.044895
 -3.377203	 10.044895	 -3.372797	 10.044895
 -3.378670	 10.044895	 -3.371329	 10.044895
 -3.380138	 10.044895	 -3.369861	 10.044895
 -3.381606	 10.044895	 -3.368394	 10.044895
 -3.383073	 10.044895	 -3.366926	 10.044895
 -3.384541	 10.002885	 -3.365458	 10.044895
 -3.386009	  9.982034	 -3.363991	 10.044895
 -3.387477	  9.898013	 -3.362523	 10.044895
 -3.388944	  9.869188	 -3.361055	 10.044895
 -3.390412	  9.772902	 -3.359588	 10.044895
 -3.391880	  9.728132	 -3.358120	 10.044895
 -3.393347	  9.682749	 -3.356652	 10.044895
 -3.394815	  9.618967	 -3.355185	 10.044895
 -3.396283	  9.577264	 -3.353717	 10.044895
 -3.397750	  9.500603	 -3.352249	 10.044895
 -3.399218	  9.466259	 -3.350781	 10.044895
 -3.400686	  9.374266	 -3.349314	 10.044895
 -3.402153	  9.343601	 -3.347846	 10.044895
 -3.403621	  9.262648	 -3.346378	 10.044895
 -3.405089	  9.223090	 -3.344911	 10.044895
 -3.406557	  9.145510	 -3.343443	 10.044895
 -3.408025	  9.098900	 -3.341975	 10.044895
 -3.409492	  9.038797	 -3.340508	 10.044895
 -3.410960	  8.976242	 -3.339040	 10.044895
 -3.412428	  8.929632	 -3.337572	 10.044895
 -3.413895	  8.846838	 -3.336104	 10.044895
 -3.415363	  8.823533	 -3.334636	 10.044895
 -3.416831	  8.739513	 -3.333169	 10.044895
 -3.418298	  8.703329	 -3.331701	 10.044895
 -3.419766	  8.624215	 -3.330234	 10.044895
 -3.421234	  8.581899	 -3.328766	 10.044895
 -3.422702	  8.524862	 -3.327298	 10.044895
 -3.424169	  8.449429	 -3.325830	 10.044895
 -3.425637	  8.410178	 -3.324363	 10.044895
 -3.427105	  8.339036	 -3.322895	 10.044895
 -3.428572	  8.303466	 -3.321427	 10.044895
 -3.430040	  8.224045	 -3.319959	 10.044895
 -3.431508	  8.177742	 -3.318492	 10.044895
 -3.432975	  8.110280	 -3.317024	 10.044895
 -3.434443	  8.073483	 -3.315557	 10.044895
 -3.435911	  8.008474	 -3.314089	 10.044895
 -3.437379	  7.938560	 -3.312621	 10.044895
 -3.438847	  7.885204	 -3.311153	 10.044895
 -3.440314	  7.826328	 -3.309685	 10.044895
 -3.441782	  7.789531	 -3.308218	 10.044895
 -3.443249	  7.706737	 -3.306750	 10.044895
 -3.444717	  7.662580	 -3.305282	 10.044895
 -3.446185	  7.587759	 -3.303815	 10.044895
 -3.447653	  7.558015	 -3.302347	 10.044895
 -3.449121	  7.470622	 -3.300879	 10.044895
 -3.450588	  7.430144	 -3.299412	 10.044895
 -3.452056	  7.370656	 -3.297944	 10.044895
 -3.453524	  7.317913	 -3.296476	 10.044895
 -3.454991	  7.266397	 -3.295008	 10.044895
 -3.456459	  7.209361	 -3.293541	 10.044895
 -3.457927	  7.159071	 -3.292073	 10.044895
 -3.459394	  7.081184	 -3.290605	 10.044895
 -3.460862	  7.047453	 -3.289138	 10.044895
 -3.462330	  6.961593	 -3.287670	 10.044895
 -3.463797	  6.937981	 -3.286202	 10.044895
 -3.465265	  6.865307	 -3.284734	 10.044895
 -3.466733	  6.819923	 -3.283267	 10.044895
 -3.468201	  6.759208	 -3.281799	 10.044895
 -3.469668	  6.711371	 -3.280331	 10.044895
 -3.471136	  6.658016	 -3.278864	 10.044895
 -3.472604	  6.588714	 -3.277396	 10.044895
 -3.474072	  6.539344	 -3.275928	 10.044895
 -3.475539	  6.462990	 -3.274461	 10.044895
 -3.477007	  6.443365	 -3.272993	 10.044895
 -3.478474	  6.369157	 -3.271525	 10.044895
 -3.479942	  6.315801	 -3.270057	 10.044895
 -3.481410	  6.246193	 -3.268589	 10.044895
 -3.482877	  6.209702	 -3.267122	 10.044895
 -3.484345	  6.156653	 -3.265654	 10.044895
 -3.485813	  6.082752	 -3.264187	 10.044895
 -3.487281	  6.045341	 -3.262719	 10.044895
 -3.488749	  5.972973	 -3.261251	 10.044895
 -3.490216	  5.941389	 -3.259784	 10.044895
 -3.491684	  5.871168	 -3.258316	 10.044895
 -3.493151	  5.820878	 -3.256848	 10.044895
 -3.494619	  5.747897	 -3.255380	 10.044895
 -3.496087	  5.707420	 -3.253912	 10.044895
 -3.497555	  5.647318	 -3.252445	 10.044895
